datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2019-01-04 13:00:00.000000000,1546578000000000000,13385.0,13405.0,13365.0,13370.0,5468,98831,98789
2019-01-04 14:00:00.000000000,1546581600000000000,13370.0,13400.0,13360.0,13400.0,12506,98789,93819
2019-01-04 21:00:00.000000000,1546606800000000000,13430.0,13455.0,13400.0,13435.0,13085,93819,93691
2019-01-04 22:00:00.000000000,1546610400000000000,13435.0,13440.0,13400.0,13425.0,6014,93691,92841
2019-01-04 23:00:00.000000000,1546614000000000000,13425.0,13465.0,13425.0,13445.0,6848,92841,92376
2019-01-05 00:00:00.000000000,1546617600000000000,13445.0,13480.0,13440.0,13465.0,3823,92376,92256
2019-01-07 09:00:00.000000000,1546822800000000000,13470.0,13470.0,13425.0,13445.0,17972,92256,90018
2019-01-07 10:00:00.000000000,1546826400000000000,13445.0,13455.0,13410.0,13415.0,10190,90018,89478
2019-01-07 11:00:00.000000000,1546830000000000000,13415.0,13425.0,13410.0,13420.0,4132,89478,89042
2019-01-07 13:00:00.000000000,1546837200000000000,13435.0,13450.0,13420.0,13435.0,6027,89042,88797
2019-01-07 14:00:00.000000000,1546840800000000000,13435.0,13440.0,13415.0,13425.0,7562,88797,87318
2019-01-07 21:00:00.000000000,1546866000000000000,13440.0,13440.0,13395.0,13430.0,9793,87318,87621
2019-01-07 22:00:00.000000000,1546869600000000000,13430.0,13435.0,13405.0,13420.0,5507,87621,87079
2019-01-07 23:00:00.000000000,1546873200000000000,13420.0,13445.0,13415.0,13440.0,4482,87079,86565
2019-01-08 00:00:00.000000000,1546876800000000000,13440.0,13450.0,13415.0,13420.0,2462,86565,86330
2019-01-08 09:00:00.000000000,1546909200000000000,13425.0,13435.0,13395.0,13395.0,7654,86330,85494
2019-01-08 10:00:00.000000000,1546912800000000000,13395.0,13400.0,13340.0,13355.0,9823,85494,85074
2019-01-08 11:00:00.000000000,1546916400000000000,13355.0,13370.0,13355.0,13365.0,2205,85074,84911
2019-01-08 13:00:00.000000000,1546923600000000000,13360.0,13360.0,13345.0,13350.0,2919,84911,84964
2019-01-08 14:00:00.000000000,1546927200000000000,13350.0,13375.0,13350.0,13350.0,7382,84964,84427
2019-01-08 21:00:00.000000000,1546952400000000000,13380.0,13415.0,13370.0,13405.0,14010,84427,131519
2019-01-08 22:00:00.000000000,1546956000000000000,13405.0,13420.0,13385.0,13415.0,9268,131519,132649
2019-01-08 23:00:00.000000000,1546959600000000000,13415.0,13415.0,13390.0,13405.0,4301,132649,132526
2019-01-09 00:00:00.000000000,1546963200000000000,13405.0,13405.0,13385.0,13400.0,4078,132526,132407
2019-01-09 09:00:00.000000000,1546995600000000000,13400.0,13430.0,13380.0,13415.0,13693,132407,135059
2019-01-09 10:00:00.000000000,1546999200000000000,13415.0,13425.0,13400.0,13425.0,7269,135059,134887
2019-01-09 11:00:00.000000000,1547002800000000000,13425.0,13440.0,13420.0,13430.0,4225,134887,134332
2019-01-09 13:00:00.000000000,1547010000000000000,13435.0,13445.0,13425.0,13430.0,4572,134332,134132
2019-01-09 14:00:00.000000000,1547013600000000000,13430.0,13475.0,13420.0,13475.0,13682,134132,131567
2019-01-09 21:00:00.000000000,1547038800000000000,13450.0,13465.0,13420.0,13440.0,9718,131567,131837
2019-01-09 22:00:00.000000000,1547042400000000000,13440.0,13460.0,13420.0,13455.0,5858,131837,132042
2019-01-09 23:00:00.000000000,1547046000000000000,13455.0,13460.0,13425.0,13430.0,4693,132042,131766
2019-01-10 00:00:00.000000000,1547049600000000000,13430.0,13460.0,13425.0,13445.0,4801,131766,131347
2019-01-10 09:00:00.000000000,1547082000000000000,13450.0,13450.0,13400.0,13410.0,12077,131347,133414
2019-01-10 10:00:00.000000000,1547085600000000000,13410.0,13425.0,13390.0,13415.0,10608,133414,135193
2019-01-10 11:00:00.000000000,1547089200000000000,13415.0,13435.0,13410.0,13430.0,4077,135193,134789
2019-01-10 13:00:00.000000000,1547096400000000000,13425.0,13430.0,13415.0,13420.0,3416,134789,134403
2019-01-10 14:00:00.000000000,1547100000000000000,13420.0,13425.0,13405.0,13405.0,8217,134403,133506
2019-01-10 21:00:00.000000000,1547125200000000000,13410.0,13420.0,13335.0,13340.0,18710,133506,137189
2019-01-10 22:00:00.000000000,1547128800000000000,13340.0,13370.0,13340.0,13350.0,6879,137189,136980
2019-01-10 23:00:00.000000000,1547132400000000000,13350.0,13365.0,13345.0,13365.0,3086,136980,137005
2019-01-11 00:00:00.000000000,1547136000000000000,13365.0,13375.0,13355.0,13360.0,3847,137005,136765
2019-01-11 09:00:00.000000000,1547168400000000000,13355.0,13400.0,13355.0,13390.0,14261,136765,138008
2019-01-11 10:00:00.000000000,1547172000000000000,13390.0,13420.0,13390.0,13415.0,9168,138008,136434
2019-01-11 11:00:00.000000000,1547175600000000000,13415.0,13425.0,13405.0,13420.0,6042,136434,135963
2019-01-11 13:00:00.000000000,1547182800000000000,13420.0,13420.0,13395.0,13405.0,3322,135963,135675
2019-01-11 14:00:00.000000000,1547186400000000000,13405.0,13405.0,13375.0,13385.0,9183,135675,136144
2019-01-11 21:00:00.000000000,1547211600000000000,13360.0,13370.0,13335.0,13365.0,11657,136144,137579
2019-01-11 22:00:00.000000000,1547215200000000000,13365.0,13375.0,13325.0,13350.0,6956,137579,138725
2019-01-11 23:00:00.000000000,1547218800000000000,13350.0,13355.0,13330.0,13340.0,3750,138725,139113
2019-01-12 00:00:00.000000000,1547222400000000000,13340.0,13345.0,13305.0,13305.0,6641,139113,139487
2019-01-14 09:00:00.000000000,1547427600000000000,13305.0,13355.0,13290.0,13295.0,20559,139487,141543
2019-01-14 10:00:00.000000000,1547431200000000000,13295.0,13325.0,13295.0,13315.0,9546,141543,143020
2019-01-14 11:00:00.000000000,1547434800000000000,13315.0,13315.0,13295.0,13300.0,5593,143020,144007
2019-01-14 13:00:00.000000000,1547442000000000000,13300.0,13315.0,13255.0,13310.0,11649,144007,143185
2019-01-14 14:00:00.000000000,1547445600000000000,13310.0,13320.0,13285.0,13285.0,11658,143185,141017
2019-01-14 21:00:00.000000000,1547470800000000000,13245.0,13275.0,13230.0,13240.0,25038,141017,139041
2019-01-14 22:00:00.000000000,1547474400000000000,13240.0,13250.0,13240.0,13250.0,3909,139041,138548
2019-01-14 23:00:00.000000000,1547478000000000000,13250.0,13265.0,13240.0,13255.0,5182,138548,138076
2019-01-15 00:00:00.000000000,1547481600000000000,13255.0,13270.0,13245.0,13255.0,3421,138076,137720
2019-01-15 09:00:00.000000000,1547514000000000000,13260.0,13290.0,13250.0,13270.0,10733,137720,138585
2019-01-15 10:00:00.000000000,1547517600000000000,13270.0,13290.0,13265.0,13285.0,7105,138585,137439
2019-01-15 11:00:00.000000000,1547521200000000000,13285.0,13290.0,13280.0,13285.0,2841,137439,137178
2019-01-15 13:00:00.000000000,1547528400000000000,13290.0,13310.0,13285.0,13300.0,7994,137178,137867
2019-01-15 14:00:00.000000000,1547532000000000000,13300.0,13335.0,13290.0,13315.0,22625,137867,141106
2019-01-15 21:00:00.000000000,1547557200000000000,13330.0,13335.0,13285.0,13320.0,11172,141106,141264
2019-01-15 22:00:00.000000000,1547560800000000000,13320.0,13365.0,13310.0,13350.0,13347,141264,139790
2019-01-15 23:00:00.000000000,1547564400000000000,13350.0,13365.0,13340.0,13345.0,7369,139790,139052
2019-01-16 00:00:00.000000000,1547568000000000000,13345.0,13370.0,13340.0,13350.0,4921,139052,138919
2019-01-16 09:00:00.000000000,1547600400000000000,13350.0,13380.0,13340.0,13355.0,19992,138919,134331
2019-01-16 10:00:00.000000000,1547604000000000000,13355.0,13355.0,13325.0,13345.0,10260,134331,131800
2019-01-16 11:00:00.000000000,1547607600000000000,13345.0,13345.0,13330.0,13345.0,4507,131800,130445
2019-01-16 13:00:00.000000000,1547614800000000000,13350.0,13370.0,13345.0,13365.0,9154,130445,130605
2019-01-16 14:00:00.000000000,1547618400000000000,13365.0,13410.0,13360.0,13400.0,16342,130605,129603
2019-01-16 21:00:00.000000000,1547643600000000000,13410.0,13455.0,13390.0,13405.0,13875,129603,128546
2019-01-16 22:00:00.000000000,1547647200000000000,13405.0,13410.0,13375.0,13380.0,3685,128546,128289
2019-01-16 23:00:00.000000000,1547650800000000000,13380.0,13390.0,13375.0,13385.0,3947,128289,128191
2019-01-17 00:00:00.000000000,1547654400000000000,13385.0,13405.0,13385.0,13390.0,2644,128191,128011
2019-01-17 09:00:00.000000000,1547686800000000000,13375.0,13395.0,13350.0,13385.0,14187,128011,128738
2019-01-17 10:00:00.000000000,1547690400000000000,13385.0,13405.0,13380.0,13400.0,6291,128738,128597
2019-01-17 11:00:00.000000000,1547694000000000000,13400.0,13420.0,13395.0,13415.0,5134,128597,128248
2019-01-17 13:00:00.000000000,1547701200000000000,13415.0,13420.0,13395.0,13405.0,3795,128248,127774
2019-01-17 14:00:00.000000000,1547704800000000000,13405.0,13410.0,13385.0,13395.0,7195,127774,126313
2019-01-17 21:00:00.000000000,1547730000000000000,13375.0,13385.0,13310.0,13335.0,14055,126313,127305
2019-01-17 22:00:00.000000000,1547733600000000000,13335.0,13355.0,13325.0,13345.0,5181,127305,126888
2019-01-17 23:00:00.000000000,1547737200000000000,13345.0,13370.0,13340.0,13350.0,4369,126888,126981
2019-01-18 00:00:00.000000000,1547740800000000000,13350.0,13390.0,13345.0,13370.0,5865,126981,127119
2019-01-18 09:00:00.000000000,1547773200000000000,13375.0,13430.0,13360.0,13430.0,13883,127119,126991
2019-01-18 10:00:00.000000000,1547776800000000000,13430.0,13440.0,13420.0,13435.0,8398,126991,126959
2019-01-18 11:00:00.000000000,1547780400000000000,13435.0,13465.0,13435.0,13460.0,7690,126959,126757
2019-01-18 13:00:00.000000000,1547787600000000000,13460.0,13465.0,13445.0,13460.0,4498,126757,126665
2019-01-18 14:00:00.000000000,1547791200000000000,13460.0,13475.0,13430.0,13475.0,10008,126665,125553
2019-01-18 21:00:00.000000000,1547816400000000000,13495.0,13500.0,13445.0,13470.0,9261,125553,124997
2019-01-18 22:00:00.000000000,1547820000000000000,13470.0,13490.0,13445.0,13465.0,6076,124997,124175
2019-01-18 23:00:00.000000000,1547823600000000000,13465.0,13610.0,13455.0,13570.0,25220,124175,124902
2019-01-19 00:00:00.000000000,1547827200000000000,13570.0,13575.0,13550.0,13575.0,8519,124902,124403
2019-01-21 09:00:00.000000000,1548032400000000000,13565.0,13580.0,13520.0,13550.0,17404,124403,122736
2019-01-21 10:00:00.000000000,1548036000000000000,13550.0,13560.0,13500.0,13520.0,8818,122736,122012
2019-01-21 11:00:00.000000000,1548039600000000000,13520.0,13525.0,13505.0,13510.0,4134,122012,121792
2019-01-21 13:00:00.000000000,1548046800000000000,13515.0,13530.0,13505.0,13525.0,3263,121792,122100
2019-01-21 14:00:00.000000000,1548050400000000000,13525.0,13535.0,13515.0,13535.0,9211,122100,120458
2019-01-21 21:00:00.000000000,1548075600000000000,13490.0,13500.0,13455.0,13475.0,11051,120458,119716
2019-01-21 22:00:00.000000000,1548079200000000000,13475.0,13475.0,13445.0,13465.0,4912,119716,118781
2019-01-21 23:00:00.000000000,1548082800000000000,13465.0,13485.0,13455.0,13455.0,5282,118781,119624
2019-01-22 00:00:00.000000000,1548086400000000000,13455.0,13460.0,13445.0,13450.0,2415,119624,119138
2019-01-22 09:00:00.000000000,1548118800000000000,13445.0,13490.0,13430.0,13430.0,12924,119138,120383
2019-01-22 10:00:00.000000000,1548122400000000000,13430.0,13440.0,13410.0,13410.0,12320,120383,119067
2019-01-22 11:00:00.000000000,1548126000000000000,13410.0,13430.0,13390.0,13420.0,6640,119067,119244
2019-01-22 13:00:00.000000000,1548133200000000000,13420.0,13430.0,13410.0,13425.0,3437,119244,118745
2019-01-22 14:00:00.000000000,1548136800000000000,13425.0,13430.0,13380.0,13395.0,11498,118745,117740
2019-01-22 21:00:00.000000000,1548162000000000000,13455.0,13475.0,13445.0,13460.0,11235,117740,116783
2019-01-22 22:00:00.000000000,1548165600000000000,13460.0,13465.0,13455.0,13460.0,1850,116783,116898
2019-01-22 23:00:00.000000000,1548169200000000000,13460.0,13465.0,13405.0,13435.0,6992,116898,116335
2019-01-23 00:00:00.000000000,1548172800000000000,13435.0,13480.0,13430.0,13475.0,4595,116335,117117
2019-01-23 09:00:00.000000000,1548205200000000000,13485.0,13520.0,13465.0,13505.0,15518,117117,118233
2019-01-23 10:00:00.000000000,1548208800000000000,13505.0,13505.0,13470.0,13485.0,6688,118233,118154
2019-01-23 11:00:00.000000000,1548212400000000000,13485.0,13505.0,13480.0,13500.0,3500,118154,118650
2019-01-23 13:00:00.000000000,1548219600000000000,13505.0,13505.0,13485.0,13500.0,5271,118650,118932
2019-01-23 14:00:00.000000000,1548223200000000000,13500.0,13535.0,13495.0,13520.0,18530,118932,117444
2019-01-23 21:00:00.000000000,1548248400000000000,13530.0,13590.0,13505.0,13585.0,20513,117444,118514
2019-01-23 22:00:00.000000000,1548252000000000000,13585.0,13610.0,13560.0,13570.0,11798,118514,118806
2019-01-23 23:00:00.000000000,1548255600000000000,13570.0,13590.0,13555.0,13585.0,6007,118806,119609
2019-01-24 00:00:00.000000000,1548259200000000000,13585.0,13600.0,13565.0,13575.0,4496,119609,119541
2019-01-24 09:00:00.000000000,1548291600000000000,13575.0,13595.0,13545.0,13565.0,13976,119541,118592
2019-01-24 10:00:00.000000000,1548295200000000000,13565.0,13585.0,13560.0,13575.0,9022,118592,120676
2019-01-24 11:00:00.000000000,1548298800000000000,13575.0,13585.0,13565.0,13575.0,3887,120676,120794
2019-01-24 13:00:00.000000000,1548306000000000000,13570.0,13580.0,13535.0,13545.0,7442,120794,119538
2019-01-24 14:00:00.000000000,1548309600000000000,13545.0,13565.0,13525.0,13550.0,10085,119538,117751
2019-01-24 21:00:00.000000000,1548334800000000000,13520.0,13535.0,13490.0,13525.0,11322,117751,117300
2019-01-24 22:00:00.000000000,1548338400000000000,13525.0,13565.0,13525.0,13560.0,4615,117300,117412
2019-01-24 23:00:00.000000000,1548342000000000000,13560.0,13565.0,13540.0,13550.0,4520,117412,117649
2019-01-25 00:00:00.000000000,1548345600000000000,13550.0,13550.0,13530.0,13550.0,3021,117649,117445
2019-01-25 09:00:00.000000000,1548378000000000000,13540.0,13555.0,13525.0,13530.0,9393,117445,115736
2019-01-25 10:00:00.000000000,1548381600000000000,13530.0,13540.0,13505.0,13520.0,8965,115736,114378
2019-01-25 11:00:00.000000000,1548385200000000000,13520.0,13530.0,13515.0,13530.0,2215,114378,113859
2019-01-25 13:00:00.000000000,1548392400000000000,13530.0,13535.0,13510.0,13510.0,2556,113859,113436
2019-01-25 14:00:00.000000000,1548396000000000000,13510.0,13530.0,13500.0,13520.0,9907,113436,111835
2019-01-25 21:00:00.000000000,1548421200000000000,13510.0,13560.0,13500.0,13560.0,8189,111835,112564
2019-01-25 22:00:00.000000000,1548424800000000000,13560.0,13575.0,13550.0,13570.0,3804,112564,113109
2019-01-25 23:00:00.000000000,1548428400000000000,13570.0,13600.0,13565.0,13575.0,6433,113109,114342
2019-01-26 00:00:00.000000000,1548432000000000000,13575.0,13610.0,13570.0,13585.0,5640,114342,114460
2019-01-28 09:00:00.000000000,1548637200000000000,13590.0,13595.0,13550.0,13555.0,14192,114460,115339
2019-01-28 10:00:00.000000000,1548640800000000000,13555.0,13560.0,13510.0,13535.0,10635,115339,115252
2019-01-28 11:00:00.000000000,1548644400000000000,13535.0,13535.0,13525.0,13530.0,1952,115252,115074
2019-01-28 13:00:00.000000000,1548651600000000000,13530.0,13530.0,13500.0,13500.0,6543,115074,115161
2019-01-28 14:00:00.000000000,1548655200000000000,13500.0,13510.0,13470.0,13485.0,14278,115161,114451
2019-01-28 21:00:00.000000000,1548680400000000000,13470.0,13490.0,13440.0,13470.0,10994,114451,114869
2019-01-28 22:00:00.000000000,1548684000000000000,13470.0,13500.0,13460.0,13460.0,6203,114869,114210
2019-01-28 23:00:00.000000000,1548687600000000000,13460.0,13480.0,13460.0,13460.0,2736,114210,114681
2019-01-29 00:00:00.000000000,1548691200000000000,13460.0,13475.0,13405.0,13405.0,6809,114681,114394
2019-01-29 09:00:00.000000000,1548723600000000000,13410.0,13465.0,13405.0,13440.0,11251,114394,114195
2019-01-29 10:00:00.000000000,1548727200000000000,13440.0,13450.0,13390.0,13400.0,12739,114195,114450
2019-01-29 11:00:00.000000000,1548730800000000000,13400.0,13405.0,13385.0,13405.0,3867,114450,114560
2019-01-29 13:00:00.000000000,1548738000000000000,13400.0,13430.0,13400.0,13430.0,4329,114560,114178
2019-01-29 14:00:00.000000000,1548741600000000000,13430.0,13435.0,13410.0,13410.0,7555,114178,113300
2019-01-29 21:00:00.000000000,1548766800000000000,13425.0,13470.0,13415.0,13450.0,8891,113300,113398
2019-01-29 22:00:00.000000000,1548770400000000000,13450.0,13490.0,13450.0,13480.0,7106,113398,114419
2019-01-29 23:00:00.000000000,1548774000000000000,13480.0,13495.0,13465.0,13470.0,4303,114419,114658
2019-01-30 00:00:00.000000000,1548777600000000000,13470.0,13520.0,13470.0,13500.0,8387,114658,115356
2019-01-30 09:00:00.000000000,1548810000000000000,13505.0,13525.0,13475.0,13500.0,14054,115356,114322
2019-01-30 10:00:00.000000000,1548813600000000000,13500.0,13500.0,13460.0,13465.0,7532,114322,113981
2019-01-30 11:00:00.000000000,1548817200000000000,13465.0,13485.0,13465.0,13470.0,4631,113981,114621
2019-01-30 13:00:00.000000000,1548824400000000000,13485.0,13490.0,13445.0,13445.0,6527,114621,115374
2019-01-30 14:00:00.000000000,1548828000000000000,13445.0,13475.0,13440.0,13460.0,7036,115374,115075
2019-01-30 21:00:00.000000000,1548853200000000000,13475.0,13490.0,13455.0,13465.0,7683,115075,114422
2019-01-30 22:00:00.000000000,1548856800000000000,13465.0,13505.0,13465.0,13490.0,4601,114422,114287
2019-01-30 23:00:00.000000000,1548860400000000000,13490.0,13540.0,13485.0,13535.0,4482,114287,114800
2019-01-31 00:00:00.000000000,1548864000000000000,13535.0,13545.0,13475.0,13480.0,4692,114800,114577
2019-01-31 09:00:00.000000000,1548896400000000000,13480.0,13540.0,13480.0,13530.0,12309,114577,114868
2019-01-31 10:00:00.000000000,1548900000000000000,13530.0,13545.0,13495.0,13530.0,10610,114868,115918
2019-01-31 11:00:00.000000000,1548903600000000000,13530.0,13535.0,13515.0,13515.0,3476,115918,115637
2019-01-31 13:00:00.000000000,1548910800000000000,13520.0,13540.0,13510.0,13520.0,7309,115637,115131
2019-01-31 14:00:00.000000000,1548914400000000000,13520.0,13525.0,13490.0,13510.0,9925,115131,113656
2019-01-31 21:00:00.000000000,1548939600000000000,13515.0,13530.0,13495.0,13510.0,10095,113656,112847
2019-01-31 22:00:00.000000000,1548943200000000000,13510.0,13545.0,13510.0,13540.0,4426,112847,112905
2019-01-31 23:00:00.000000000,1548946800000000000,13540.0,13565.0,13535.0,13540.0,5017,112905,112817
2019-02-01 00:00:00.000000000,1548950400000000000,13540.0,13550.0,13510.0,13525.0,3000,112817,112321
2019-02-01 09:00:00.000000000,1548982800000000000,13520.0,13535.0,13400.0,13400.0,17890,112321,113563
2019-02-01 10:00:00.000000000,1548986400000000000,13400.0,13415.0,13385.0,13410.0,13093,113563,114217
2019-02-01 11:00:00.000000000,1548990000000000000,13410.0,13410.0,13390.0,13395.0,5750,114217,114721
2019-02-01 13:00:00.000000000,1548997200000000000,13405.0,13445.0,13400.0,13440.0,5371,114721,114564
2019-02-01 14:00:00.000000000,1549000800000000000,13440.0,13550.0,13435.0,13545.0,11293,114564,111086
2019-02-11 09:00:00.000000000,1549846800000000000,13490.0,13530.0,13405.0,13420.0,14733,111086,112052
2019-02-11 10:00:00.000000000,1549850400000000000,13420.0,13435.0,13355.0,13365.0,14396,112052,115545
2019-02-11 11:00:00.000000000,1549854000000000000,13365.0,13365.0,13335.0,13350.0,6509,115545,116934
2019-02-11 13:00:00.000000000,1549861200000000000,13350.0,13375.0,13350.0,13365.0,6441,116934,118282
2019-02-11 14:00:00.000000000,1549864800000000000,13365.0,13370.0,13305.0,13315.0,11056,118282,118886
2019-02-11 21:00:00.000000000,1549890000000000000,13315.0,13365.0,13310.0,13365.0,9446,118886,119357
2019-02-11 22:00:00.000000000,1549893600000000000,13365.0,13380.0,13350.0,13355.0,6516,119357,118711
2019-02-11 23:00:00.000000000,1549897200000000000,13355.0,13375.0,13355.0,13375.0,3074,118711,118937
2019-02-12 00:00:00.000000000,1549900800000000000,13375.0,13390.0,13365.0,13370.0,3485,118937,119414
2019-02-12 09:00:00.000000000,1549933200000000000,13380.0,13385.0,13340.0,13380.0,14012,119414,118883
2019-02-12 10:00:00.000000000,1549936800000000000,13380.0,13380.0,13350.0,13360.0,8084,118883,119614
2019-02-12 11:00:00.000000000,1549940400000000000,13360.0,13375.0,13355.0,13370.0,2860,119614,119943
2019-02-12 13:00:00.000000000,1549947600000000000,13370.0,13375.0,13345.0,13350.0,6181,119943,121273
2019-02-12 14:00:00.000000000,1549951200000000000,13350.0,13370.0,13345.0,13365.0,8683,121273,122259
2019-02-12 21:00:00.000000000,1549976400000000000,13340.0,13360.0,13330.0,13355.0,5664,122259,122389
2019-02-12 22:00:00.000000000,1549980000000000000,13355.0,13360.0,13340.0,13350.0,2681,122389,122481
2019-02-12 23:00:00.000000000,1549983600000000000,13350.0,13350.0,13330.0,13345.0,3075,122481,122849
2019-02-13 00:00:00.000000000,1549987200000000000,13345.0,13365.0,13325.0,13335.0,6585,122849,121830
2019-02-13 09:00:00.000000000,1550019600000000000,13335.0,13395.0,13325.0,13375.0,11757,121830,120804
2019-02-13 10:00:00.000000000,1550023200000000000,13375.0,13375.0,13360.0,13365.0,5274,120804,120099
2019-02-13 11:00:00.000000000,1550026800000000000,13365.0,13370.0,13355.0,13360.0,2324,120099,120132
2019-02-13 13:00:00.000000000,1550034000000000000,13365.0,13375.0,13350.0,13365.0,4260,120132,119947
2019-02-13 14:00:00.000000000,1550037600000000000,13365.0,13370.0,13345.0,13350.0,6774,119947,118596
2019-02-13 21:00:00.000000000,1550062800000000000,13355.0,13440.0,13335.0,13395.0,12055,118596,117520
2019-02-13 22:00:00.000000000,1550066400000000000,13395.0,13405.0,13385.0,13400.0,3127,117520,117148
2019-02-13 23:00:00.000000000,1550070000000000000,13400.0,13415.0,13395.0,13410.0,2876,117148,117291
2019-02-14 00:00:00.000000000,1550073600000000000,13410.0,13415.0,13385.0,13385.0,2153,117291,116987
2019-02-14 09:00:00.000000000,1550106000000000000,13380.0,13485.0,13365.0,13365.0,17361,116987,117470
2019-02-14 10:00:00.000000000,1550109600000000000,13365.0,13380.0,13360.0,13370.0,5288,117470,117142
2019-02-14 11:00:00.000000000,1550113200000000000,13370.0,13390.0,13370.0,13380.0,3510,117142,117035
2019-02-14 13:00:00.000000000,1550120400000000000,13385.0,13395.0,13375.0,13390.0,2917,117035,117224
2019-02-14 14:00:00.000000000,1550124000000000000,13390.0,13400.0,13380.0,13390.0,6398,117224,116383
2019-02-14 21:00:00.000000000,1550149200000000000,13385.0,13395.0,13350.0,13355.0,10510,116383,116605
2019-02-14 22:00:00.000000000,1550152800000000000,13355.0,13355.0,13340.0,13345.0,3680,116605,116707
2019-02-14 23:00:00.000000000,1550156400000000000,13345.0,13360.0,13345.0,13350.0,2713,116707,116953
2019-02-15 00:00:00.000000000,1550160000000000000,13350.0,13360.0,13335.0,13345.0,3597,116953,117240
2019-02-15 09:00:00.000000000,1550192400000000000,13340.0,13390.0,13340.0,13375.0,11028,117240,115571
2019-02-15 10:00:00.000000000,1550196000000000000,13375.0,13390.0,13360.0,13390.0,7428,115571,114955
2019-02-15 11:00:00.000000000,1550199600000000000,13390.0,13390.0,13370.0,13380.0,3238,114955,114266
2019-02-15 13:00:00.000000000,1550206800000000000,13380.0,13385.0,13370.0,13385.0,3278,114266,113603
2019-02-15 14:00:00.000000000,1550210400000000000,13385.0,13400.0,13380.0,13385.0,9933,113603,112138
2019-02-15 21:00:00.000000000,1550235600000000000,13410.0,13475.0,13395.0,13470.0,9550,112138,111881
2019-02-15 22:00:00.000000000,1550239200000000000,13470.0,13500.0,13455.0,13495.0,8853,111881,112023
2019-02-15 23:00:00.000000000,1550242800000000000,13495.0,13495.0,13455.0,13465.0,6161,112023,112528
2019-02-16 00:00:00.000000000,1550246400000000000,13465.0,13480.0,13455.0,13470.0,3077,112528,112265
2019-02-18 09:00:00.000000000,1550451600000000000,13460.0,13475.0,13420.0,13435.0,13608,112265,111949
2019-02-18 10:00:00.000000000,1550455200000000000,13435.0,13455.0,13430.0,13430.0,8233,111949,111937
2019-02-18 11:00:00.000000000,1550458800000000000,13430.0,13450.0,13430.0,13445.0,3244,111937,111614
2019-02-18 13:00:00.000000000,1550466000000000000,13450.0,13465.0,13445.0,13460.0,3200,111614,111570
2019-02-18 14:00:00.000000000,1550469600000000000,13460.0,13475.0,13445.0,13460.0,9399,111570,109725
2019-02-18 21:00:00.000000000,1550494800000000000,13440.0,13460.0,13420.0,13430.0,10169,109725,109187
