datetime,datetime_nano,KQ.m@SHFE.zn.open,KQ.m@SHFE.zn.high,KQ.m@SHFE.zn.low,KQ.m@SHFE.zn.close,KQ.m@SHFE.zn.volume,KQ.m@SHFE.zn.open_oi,KQ.m@SHFE.zn.close_oi
2019-01-04 14:00:00.000000000,1546581600000000000,20395.0,20500.0,20370.0,20490.0,31849,75885,73076
2019-01-04 21:00:00.000000000,1546606800000000000,20490.0,20510.0,20315.0,20430.0,51492,73076,74115
2019-01-04 22:00:00.000000000,1546610400000000000,20430.0,20485.0,20380.0,20400.0,33437,74115,75523
2019-01-04 23:00:00.000000000,1546614000000000000,20400.0,20530.0,20365.0,20450.0,36144,75523,75800
2019-01-05 00:00:00.000000000,1546617600000000000,20450.0,20550.0,20430.0,20465.0,26276,75800,74463
2019-01-07 09:00:00.000000000,1546822800000000000,20490.0,20560.0,20440.0,20485.0,38580,74463,72509
2019-01-07 10:00:00.000000000,1546826400000000000,20485.0,20535.0,20460.0,20520.0,18198,72509,72713
2019-01-07 11:00:00.000000000,1546830000000000000,20520.0,20560.0,20515.0,20545.0,10058,72713,73208
2019-01-07 13:00:00.000000000,1546837200000000000,20555.0,20580.0,20485.0,20555.0,17997,73208,73754
2019-01-07 14:00:00.000000000,1546840800000000000,20555.0,20590.0,20510.0,20520.0,19481,73754,72326
2019-01-07 21:00:00.000000000,1546866000000000000,20510.0,20575.0,20470.0,20540.0,32333,72326,73581
2019-01-07 22:00:00.000000000,1546869600000000000,20540.0,20555.0,20500.0,20540.0,18548,73581,73530
2019-01-07 23:00:00.000000000,1546873200000000000,20540.0,20625.0,20520.0,20620.0,20922,73530,74023
2019-01-08 00:00:00.000000000,1546876800000000000,20620.0,20695.0,20600.0,20660.0,16786,74023,73260
2019-01-08 09:00:00.000000000,1546909200000000000,20650.0,20675.0,20550.0,20600.0,25910,73260,71548
2019-01-08 10:00:00.000000000,1546912800000000000,20600.0,20610.0,20565.0,20580.0,12450,71548,72099
2019-01-08 11:00:00.000000000,1546916400000000000,20580.0,20580.0,20530.0,20545.0,7176,72099,72630
2019-01-08 13:00:00.000000000,1546923600000000000,20535.0,20585.0,20505.0,20575.0,10732,72630,72768
2019-01-08 14:00:00.000000000,1546927200000000000,20575.0,20665.0,20570.0,20620.0,20421,72768,71326
2019-01-08 21:00:00.000000000,1546952400000000000,20630.0,20680.0,20595.0,20630.0,30156,71326,72517
2019-01-08 22:00:00.000000000,1546956000000000000,20630.0,20650.0,20570.0,20630.0,21705,72517,72886
2019-01-08 23:00:00.000000000,1546959600000000000,20630.0,20650.0,20575.0,20630.0,16852,72886,73099
2019-01-09 00:00:00.000000000,1546963200000000000,20630.0,20650.0,20550.0,20575.0,11873,73099,72053
2019-01-09 09:00:00.000000000,1546995600000000000,20605.0,20835.0,20605.0,20780.0,36916,72053,72704
2019-01-09 10:00:00.000000000,1546999200000000000,20780.0,20840.0,20765.0,20815.0,15410,72704,72989
2019-01-09 11:00:00.000000000,1547002800000000000,20815.0,20850.0,20800.0,20845.0,10279,72989,72835
2019-01-09 13:00:00.000000000,1547010000000000000,20840.0,20915.0,20840.0,20860.0,15543,72835,73790
2019-01-09 14:00:00.000000000,1547013600000000000,20860.0,20910.0,20820.0,20845.0,25475,73790,73084
2019-01-09 21:00:00.000000000,1547038800000000000,20810.0,20840.0,20765.0,20795.0,23585,73084,72410
2019-01-09 22:00:00.000000000,1547042400000000000,20795.0,20815.0,20745.0,20805.0,20358,72410,72051
2019-01-09 23:00:00.000000000,1547046000000000000,20805.0,20825.0,20735.0,20750.0,14138,72051,72175
2019-01-10 00:00:00.000000000,1547049600000000000,20750.0,20820.0,20740.0,20780.0,11171,72175,71367
2019-01-10 09:00:00.000000000,1547082000000000000,20785.0,20800.0,20665.0,20710.0,17821,71367,70363
2019-01-10 10:00:00.000000000,1547085600000000000,20710.0,20715.0,20645.0,20660.0,10574,70363,71001
2019-01-10 11:00:00.000000000,1547089200000000000,20660.0,20705.0,20655.0,20695.0,8291,71001,70614
2019-01-10 13:00:00.000000000,1547096400000000000,20695.0,20745.0,20690.0,20725.0,13375,70614,69712
2019-01-10 14:00:00.000000000,1547100000000000000,20725.0,20730.0,20620.0,20670.0,20369,69712,67298
2019-01-10 21:00:00.000000000,1547125200000000000,20330.0,20385.0,20140.0,20140.0,52568,67298,96951
2019-01-10 22:00:00.000000000,1547128800000000000,20140.0,20200.0,20120.0,20160.0,35738,96951,97456
2019-01-10 23:00:00.000000000,1547132400000000000,20160.0,20250.0,20145.0,20245.0,25352,97456,96146
2019-01-11 00:00:00.000000000,1547136000000000000,20245.0,20290.0,20225.0,20260.0,18102,96146,94631
2019-01-11 09:00:00.000000000,1547168400000000000,20240.0,20305.0,20185.0,20300.0,31752,94631,94684
2019-01-11 10:00:00.000000000,1547172000000000000,20300.0,20350.0,20280.0,20325.0,19542,94684,94089
2019-01-11 11:00:00.000000000,1547175600000000000,20325.0,20435.0,20320.0,20435.0,23016,94089,95170
2019-01-11 13:00:00.000000000,1547182800000000000,20435.0,20460.0,20345.0,20350.0,25700,95170,94379
2019-01-11 14:00:00.000000000,1547186400000000000,20350.0,20415.0,20330.0,20400.0,39497,94379,92020
2019-01-11 21:00:00.000000000,1547211600000000000,20355.0,20455.0,20315.0,20420.0,49200,92020,94754
2019-01-11 22:00:00.000000000,1547215200000000000,20420.0,20430.0,20300.0,20355.0,37205,94754,93963
2019-01-11 23:00:00.000000000,1547218800000000000,20355.0,20445.0,20350.0,20420.0,21312,93963,95457
2019-01-12 00:00:00.000000000,1547222400000000000,20420.0,20440.0,20405.0,20430.0,14012,95457,93975
2019-01-14 09:00:00.000000000,1547427600000000000,20445.0,20500.0,20360.0,20370.0,42968,93975,93924
2019-01-14 10:00:00.000000000,1547431200000000000,20370.0,20380.0,20305.0,20330.0,33300,93924,94839
2019-01-14 11:00:00.000000000,1547434800000000000,20330.0,20330.0,20255.0,20275.0,19037,94839,96019
2019-01-14 13:00:00.000000000,1547442000000000000,20275.0,20325.0,20245.0,20325.0,17251,96019,97347
2019-01-14 14:00:00.000000000,1547445600000000000,20325.0,20370.0,20280.0,20285.0,27855,97347,96827
2019-01-14 21:00:00.000000000,1547470800000000000,20295.0,20310.0,20125.0,20200.0,61024,96827,100940
2019-01-14 22:00:00.000000000,1547474400000000000,20200.0,20265.0,20200.0,20240.0,22969,100940,100776
2019-01-14 23:00:00.000000000,1547478000000000000,20240.0,20360.0,20240.0,20350.0,29023,100776,101740
2019-01-15 00:00:00.000000000,1547481600000000000,20350.0,20410.0,20325.0,20355.0,20153,101740,100054
2019-01-15 09:00:00.000000000,1547514000000000000,20355.0,20465.0,20345.0,20425.0,47729,100054,100414
2019-01-15 10:00:00.000000000,1547517600000000000,20425.0,20475.0,20395.0,20455.0,22370,100414,101303
2019-01-15 11:00:00.000000000,1547521200000000000,20455.0,20505.0,20430.0,20455.0,18513,101303,100960
2019-01-15 13:00:00.000000000,1547528400000000000,20450.0,20520.0,20440.0,20515.0,22199,100960,103218
2019-01-15 14:00:00.000000000,1547532000000000000,20515.0,20540.0,20455.0,20515.0,44847,103218,100962
2019-01-15 21:00:00.000000000,1547557200000000000,20475.0,20560.0,20420.0,20545.0,56478,100962,105397
2019-01-15 22:00:00.000000000,1547560800000000000,20545.0,20565.0,20475.0,20525.0,36922,105397,105064
2019-01-15 23:00:00.000000000,1547564400000000000,20525.0,20540.0,20485.0,20520.0,22005,105064,105105
2019-01-16 00:00:00.000000000,1547568000000000000,20520.0,20530.0,20450.0,20455.0,24525,105105,102749
2019-01-16 09:00:00.000000000,1547600400000000000,20455.0,20615.0,20435.0,20590.0,51990,102749,106365
2019-01-16 10:00:00.000000000,1547604000000000000,20590.0,20630.0,20555.0,20620.0,30903,106365,109624
2019-01-16 11:00:00.000000000,1547607600000000000,20620.0,20785.0,20605.0,20775.0,33906,109624,113956
2019-01-16 13:00:00.000000000,1547614800000000000,20770.0,20790.0,20715.0,20765.0,22737,113956,116454
2019-01-16 14:00:00.000000000,1547618400000000000,20765.0,20890.0,20765.0,20860.0,53514,116454,119408
2019-01-16 21:00:00.000000000,1547643600000000000,20830.0,20900.0,20805.0,20815.0,50138,119408,119828
2019-01-16 22:00:00.000000000,1547647200000000000,20815.0,20875.0,20785.0,20805.0,30269,119828,119587
2019-01-16 23:00:00.000000000,1547650800000000000,20805.0,20820.0,20745.0,20775.0,24841,119587,118724
2019-01-17 00:00:00.000000000,1547654400000000000,20775.0,20850.0,20760.0,20825.0,15307,118724,117245
2019-01-17 09:00:00.000000000,1547686800000000000,20835.0,20960.0,20820.0,20865.0,49131,117245,117886
2019-01-17 10:00:00.000000000,1547690400000000000,20865.0,20875.0,20795.0,20855.0,25782,117886,118102
2019-01-17 11:00:00.000000000,1547694000000000000,20855.0,20905.0,20855.0,20905.0,15008,118102,118100
2019-01-17 13:00:00.000000000,1547701200000000000,20895.0,20935.0,20850.0,20930.0,21401,118100,119615
2019-01-17 14:00:00.000000000,1547704800000000000,20930.0,20930.0,20865.0,20885.0,26578,119615,118430
2019-01-17 21:00:00.000000000,1547730000000000000,20860.0,20920.0,20780.0,20905.0,53533,118430,120053
2019-01-17 22:00:00.000000000,1547733600000000000,20905.0,21060.0,20890.0,21055.0,42667,120053,123010
2019-01-17 23:00:00.000000000,1547737200000000000,21055.0,21220.0,21035.0,21185.0,63792,123010,125652
2019-01-18 00:00:00.000000000,1547740800000000000,21185.0,21380.0,21185.0,21330.0,57994,125652,126372
2019-01-18 09:00:00.000000000,1547773200000000000,21330.0,21350.0,21255.0,21305.0,42763,126372,125350
2019-01-18 10:00:00.000000000,1547776800000000000,21305.0,21345.0,21215.0,21275.0,34963,125350,124156
2019-01-18 11:00:00.000000000,1547780400000000000,21275.0,21305.0,21245.0,21285.0,16047,124156,124021
2019-01-18 13:00:00.000000000,1547787600000000000,21295.0,21420.0,21290.0,21380.0,25441,124021,126361
2019-01-18 14:00:00.000000000,1547791200000000000,21380.0,21495.0,21320.0,21480.0,43675,126361,125549
2019-01-18 21:00:00.000000000,1547816400000000000,21475.0,21520.0,21360.0,21465.0,49456,125549,125631
2019-01-18 22:00:00.000000000,1547820000000000000,21465.0,21550.0,21425.0,21525.0,52606,125631,126591
2019-01-18 23:00:00.000000000,1547823600000000000,21525.0,21750.0,21485.0,21700.0,59942,126591,128649
2019-01-19 00:00:00.000000000,1547827200000000000,21700.0,21740.0,21560.0,21575.0,39730,128649,123415
2019-01-21 09:00:00.000000000,1548032400000000000,21575.0,21605.0,21460.0,21475.0,48829,123415,122244
2019-01-21 10:00:00.000000000,1548036000000000000,21475.0,21550.0,21405.0,21485.0,31246,122244,121739
2019-01-21 11:00:00.000000000,1548039600000000000,21485.0,21505.0,21430.0,21460.0,11714,121739,121652
2019-01-21 13:00:00.000000000,1548046800000000000,21465.0,21470.0,21385.0,21425.0,25165,121652,120328
2019-01-21 14:00:00.000000000,1548050400000000000,21425.0,21495.0,21395.0,21420.0,34648,120328,117446
2019-01-21 21:00:00.000000000,1548075600000000000,21350.0,21480.0,21340.0,21460.0,34201,117446,119386
2019-01-21 22:00:00.000000000,1548079200000000000,21460.0,21470.0,21395.0,21420.0,29501,119386,118773
2019-01-21 23:00:00.000000000,1548082800000000000,21420.0,21585.0,21415.0,21545.0,31397,118773,120981
2019-01-22 00:00:00.000000000,1548086400000000000,21545.0,21555.0,21455.0,21455.0,16951,120981,118778
2019-01-22 09:00:00.000000000,1548118800000000000,21460.0,21485.0,21340.0,21360.0,34888,118778,118817
2019-01-22 10:00:00.000000000,1548122400000000000,21360.0,21380.0,21230.0,21330.0,39904,118817,115615
2019-01-22 11:00:00.000000000,1548126000000000000,21330.0,21380.0,21305.0,21315.0,12054,115615,115396
2019-01-22 13:00:00.000000000,1548133200000000000,21300.0,21370.0,21280.0,21300.0,14710,115396,115647
2019-01-22 14:00:00.000000000,1548136800000000000,21300.0,21335.0,21280.0,21300.0,24036,115647,112968
2019-01-22 21:00:00.000000000,1548162000000000000,21425.0,21525.0,21410.0,21465.0,53357,112968,116476
2019-01-22 22:00:00.000000000,1548165600000000000,21465.0,21560.0,21445.0,21540.0,48359,116476,117979
2019-01-22 23:00:00.000000000,1548169200000000000,21540.0,21555.0,21325.0,21410.0,54490,117979,117126
2019-01-23 00:00:00.000000000,1548172800000000000,21410.0,21425.0,21345.0,21380.0,23962,117126,115270
2019-01-23 09:00:00.000000000,1548205200000000000,21395.0,21580.0,21395.0,21530.0,47251,115270,117759
2019-01-23 10:00:00.000000000,1548208800000000000,21530.0,21530.0,21470.0,21510.0,22223,117759,118386
2019-01-23 11:00:00.000000000,1548212400000000000,21510.0,21630.0,21510.0,21605.0,36846,118386,120669
2019-01-23 13:00:00.000000000,1548219600000000000,21605.0,21655.0,21580.0,21590.0,22952,120669,121841
2019-01-23 14:00:00.000000000,1548223200000000000,21590.0,21675.0,21580.0,21595.0,46346,121841,120394
2019-01-23 21:00:00.000000000,1548248400000000000,21600.0,21675.0,21535.0,21650.0,60312,120394,121762
2019-01-23 22:00:00.000000000,1548252000000000000,21650.0,21750.0,21630.0,21660.0,55821,121762,124150
2019-01-23 23:00:00.000000000,1548255600000000000,21660.0,21715.0,21575.0,21690.0,45211,124150,124009
2019-01-24 00:00:00.000000000,1548259200000000000,21690.0,21725.0,21660.0,21670.0,20607,124009,122675
2019-01-24 09:00:00.000000000,1548291600000000000,21675.0,21755.0,21545.0,21560.0,49024,122675,120592
2019-01-24 10:00:00.000000000,1548295200000000000,21560.0,21585.0,21505.0,21570.0,22935,120592,119298
2019-01-24 11:00:00.000000000,1548298800000000000,21570.0,21580.0,21425.0,21465.0,25132,119298,116155
2019-01-24 13:00:00.000000000,1548306000000000000,21470.0,21520.0,21445.0,21470.0,16204,116155,115549
2019-01-24 14:00:00.000000000,1548309600000000000,21470.0,21490.0,21410.0,21480.0,33110,115549,112351
2019-01-24 21:00:00.000000000,1548334800000000000,21515.0,21565.0,21475.0,21545.0,41058,112351,113616
2019-01-24 22:00:00.000000000,1548338400000000000,21545.0,21650.0,21545.0,21620.0,32549,113616,115735
2019-01-24 23:00:00.000000000,1548342000000000000,21620.0,21705.0,21610.0,21685.0,28106,115735,119703
2019-01-25 00:00:00.000000000,1548345600000000000,21685.0,21695.0,21660.0,21685.0,15326,119703,117878
2019-01-25 09:00:00.000000000,1548378000000000000,21665.0,21670.0,21580.0,21590.0,37121,117878,114127
2019-01-25 10:00:00.000000000,1548381600000000000,21590.0,21600.0,21520.0,21545.0,28111,114127,112844
2019-01-25 11:00:00.000000000,1548385200000000000,21545.0,21650.0,21520.0,21640.0,19578,112844,111704
2019-01-25 13:00:00.000000000,1548392400000000000,21645.0,21665.0,21615.0,21615.0,12917,111704,111952
2019-01-25 14:00:00.000000000,1548396000000000000,21615.0,21775.0,21520.0,21525.0,72884,111952,108730
2019-01-25 21:00:00.000000000,1548421200000000000,21580.0,21635.0,21505.0,21570.0,56661,108730,112861
2019-01-25 22:00:00.000000000,1548424800000000000,21570.0,21660.0,21555.0,21630.0,40182,112861,112704
2019-01-25 23:00:00.000000000,1548428400000000000,21630.0,21750.0,21630.0,21745.0,39431,112704,116833
2019-01-26 00:00:00.000000000,1548432000000000000,21745.0,21840.0,21720.0,21805.0,34597,116833,118409
2019-01-28 09:00:00.000000000,1548637200000000000,21810.0,21895.0,21690.0,21815.0,62674,118409,117766
2019-01-28 10:00:00.000000000,1548640800000000000,21815.0,21835.0,21725.0,21765.0,18295,117766,117487
2019-01-28 11:00:00.000000000,1548644400000000000,21765.0,21780.0,21735.0,21770.0,8320,117487,117149
2019-01-28 13:00:00.000000000,1548651600000000000,21780.0,21915.0,21770.0,21865.0,31128,117149,120087
2019-01-28 14:00:00.000000000,1548655200000000000,21865.0,21885.0,21710.0,21810.0,43312,120087,115013
2019-01-28 21:00:00.000000000,1548680400000000000,21845.0,21880.0,21755.0,21800.0,52623,115013,116638
2019-01-28 22:00:00.000000000,1548684000000000000,21800.0,21825.0,21705.0,21740.0,40899,116638,115842
2019-01-28 23:00:00.000000000,1548687600000000000,21740.0,21845.0,21730.0,21815.0,26650,115842,117837
2019-01-29 00:00:00.000000000,1548691200000000000,21815.0,21825.0,21720.0,21740.0,20392,117837,116203
2019-01-29 09:00:00.000000000,1548723600000000000,21755.0,21820.0,21590.0,21595.0,53019,116203,112720
2019-01-29 10:00:00.000000000,1548727200000000000,21595.0,21605.0,21525.0,21565.0,31056,112720,110123
2019-01-29 11:00:00.000000000,1548730800000000000,21565.0,21610.0,21555.0,21595.0,11323,110123,109148
2019-01-29 13:00:00.000000000,1548738000000000000,21600.0,21660.0,21600.0,21640.0,13422,109148,108088
2019-01-29 14:00:00.000000000,1548741600000000000,21640.0,21735.0,21635.0,21685.0,27278,108088,107187
2019-01-29 21:00:00.000000000,1548766800000000000,21725.0,21830.0,21695.0,21805.0,47046,107187,108994
2019-01-29 22:00:00.000000000,1548770400000000000,21805.0,21880.0,21790.0,21845.0,44954,108994,111389
2019-01-29 23:00:00.000000000,1548774000000000000,21845.0,21860.0,21665.0,21685.0,43494,111389,109890
2019-01-30 00:00:00.000000000,1548777600000000000,21685.0,21720.0,21615.0,21710.0,23043,109890,107194
2019-01-30 09:00:00.000000000,1548810000000000000,21705.0,21750.0,21600.0,21700.0,46349,107194,104932
2019-01-30 10:00:00.000000000,1548813600000000000,21700.0,21745.0,21660.0,21675.0,18647,104932,104355
2019-01-30 11:00:00.000000000,1548817200000000000,21675.0,21710.0,21640.0,21690.0,10418,104355,103943
2019-01-30 13:00:00.000000000,1548824400000000000,21695.0,21785.0,21685.0,21780.0,18913,103943,104490
2019-01-30 14:00:00.000000000,1548828000000000000,21780.0,21805.0,21675.0,21715.0,37006,104490,100736
2019-01-30 21:00:00.000000000,1548853200000000000,21715.0,21810.0,21650.0,21780.0,43580,100736,101401
2019-01-30 22:00:00.000000000,1548856800000000000,21780.0,21985.0,21765.0,21910.0,57239,101401,104970
2019-01-30 23:00:00.000000000,1548860400000000000,21910.0,22010.0,21910.0,21945.0,31472,104970,106282
2019-01-31 00:00:00.000000000,1548864000000000000,21945.0,21955.0,21825.0,21920.0,27698,106282,102726
2019-01-31 09:00:00.000000000,1548896400000000000,21920.0,22025.0,21860.0,21885.0,41006,102726,102196
2019-01-31 10:00:00.000000000,1548900000000000000,21885.0,21920.0,21870.0,21900.0,14702,102196,100912
2019-01-31 11:00:00.000000000,1548903600000000000,21900.0,21970.0,21895.0,21965.0,8874,100912,100374
2019-01-31 13:00:00.000000000,1548910800000000000,21975.0,22120.0,21925.0,22050.0,32401,100374,102121
2019-01-31 14:00:00.000000000,1548914400000000000,22050.0,22260.0,21950.0,22180.0,52459,102121,99931
2019-01-31 21:00:00.000000000,1548939600000000000,22170.0,22370.0,22160.0,22335.0,51817,99931,99834
2019-01-31 22:00:00.000000000,1548943200000000000,22335.0,22460.0,22320.0,22420.0,37433,99834,100792
2019-01-31 23:00:00.000000000,1548946800000000000,22420.0,22435.0,22330.0,22350.0,29090,100792,99422
2019-02-01 00:00:00.000000000,1548950400000000000,22350.0,22385.0,22280.0,22375.0,21870,99422,97617
2019-02-01 09:00:00.000000000,1548982800000000000,22360.0,22385.0,22160.0,22185.0,31364,97617,94187
2019-02-01 10:00:00.000000000,1548986400000000000,22185.0,22225.0,22115.0,22220.0,17042,94187,93866
2019-02-01 11:00:00.000000000,1548990000000000000,22220.0,22265.0,22180.0,22190.0,12047,93866,92372
2019-02-01 13:00:00.000000000,1548997200000000000,22200.0,22275.0,22165.0,22260.0,10976,92372,91982
2019-02-01 14:00:00.000000000,1549000800000000000,22260.0,22425.0,22225.0,22395.0,26101,91982,88669
2019-02-11 09:00:00.000000000,1549846800000000000,22275.0,22305.0,22050.0,22060.0,37464,88669,87240
2019-02-11 10:00:00.000000000,1549850400000000000,22060.0,22060.0,21780.0,21795.0,30972,87240,89298
2019-02-11 11:00:00.000000000,1549854000000000000,21795.0,21795.0,21600.0,21605.0,29183,89298,89409
2019-02-11 13:00:00.000000000,1549861200000000000,21625.0,21695.0,21580.0,21600.0,19835,89409,89337
2019-02-11 14:00:00.000000000,1549864800000000000,21600.0,21690.0,21590.0,21610.0,26334,89337,88033
2019-02-11 21:00:00.000000000,1549890000000000000,21610.0,21695.0,21575.0,21625.0,34478,88033,88714
2019-02-11 22:00:00.000000000,1549893600000000000,21625.0,21665.0,21615.0,21645.0,20794,88714,88125
2019-02-11 23:00:00.000000000,1549897200000000000,21645.0,21705.0,21640.0,21670.0,12663,88125,89118
2019-02-12 00:00:00.000000000,1549900800000000000,21670.0,21685.0,21610.0,21620.0,7437,89118,88822
2019-02-12 09:00:00.000000000,1549933200000000000,21630.0,21665.0,21535.0,21595.0,27114,88822,88009
2019-02-12 10:00:00.000000000,1549936800000000000,21595.0,21610.0,21540.0,21580.0,12845,88009,88012
2019-02-12 11:00:00.000000000,1549940400000000000,21580.0,21635.0,21570.0,21580.0,6857,88012,87591
2019-02-12 13:00:00.000000000,1549947600000000000,21600.0,21600.0,21545.0,21550.0,8320,87591,87454
2019-02-12 14:00:00.000000000,1549951200000000000,21550.0,21675.0,21540.0,21620.0,20612,87454,86671
2019-02-12 21:00:00.000000000,1549976400000000000,21560.0,21690.0,21540.0,21630.0,20895,86671,87329
2019-02-12 22:00:00.000000000,1549980000000000000,21630.0,21640.0,21410.0,21415.0,34199,87329,87988
2019-02-12 23:00:00.000000000,1549983600000000000,21415.0,21415.0,21315.0,21360.0,24748,87988,86448
2019-02-13 00:00:00.000000000,1549987200000000000,21360.0,21395.0,21350.0,21365.0,9319,86448,85434
2019-02-13 09:00:00.000000000,1550019600000000000,21380.0,21510.0,21375.0,21490.0,24624,85434,84074
2019-02-13 10:00:00.000000000,1550023200000000000,21490.0,21500.0,21460.0,21480.0,8083,84074,84541
2019-02-13 11:00:00.000000000,1550026800000000000,21480.0,21495.0,21435.0,21445.0,5664,84541,84137
2019-02-13 13:00:00.000000000,1550034000000000000,21470.0,21470.0,21430.0,21460.0,7415,84137,83538
2019-02-13 14:00:00.000000000,1550037600000000000,21460.0,21485.0,21400.0,21440.0,18424,83538,82148
2019-02-13 21:00:00.000000000,1550062800000000000,21425.0,21470.0,21355.0,21425.0,23212,82148,83082
2019-02-13 22:00:00.000000000,1550066400000000000,21425.0,21450.0,21375.0,21435.0,13265,83082,83026
2019-02-13 23:00:00.000000000,1550070000000000000,21435.0,21515.0,21430.0,21450.0,18675,83026,83833
2019-02-14 00:00:00.000000000,1550073600000000000,21450.0,21455.0,21380.0,21380.0,10557,83833,82999
2019-02-14 09:00:00.000000000,1550106000000000000,21410.0,21570.0,21410.0,21520.0,21746,82999,83004
2019-02-14 10:00:00.000000000,1550109600000000000,21520.0,21525.0,21430.0,21460.0,14858,83004,82759
2019-02-14 11:00:00.000000000,1550113200000000000,21460.0,21535.0,21455.0,21510.0,8709,82759,82003
2019-02-14 13:00:00.000000000,1550120400000000000,21530.0,21535.0,21470.0,21490.0,7671,82003,81439
2019-02-14 14:00:00.000000000,1550124000000000000,21490.0,21535.0,21450.0,21490.0,14758,81439,80781
2019-02-14 21:00:00.000000000,1550149200000000000,21500.0,21545.0,21285.0,21360.0,39842,80781,82769
2019-02-14 22:00:00.000000000,1550152800000000000,21360.0,21365.0,21180.0,21285.0,31516,82769,81881
2019-02-14 23:00:00.000000000,1550156400000000000,21285.0,21350.0,21260.0,21320.0,16449,81881,80935
2019-02-15 00:00:00.000000000,1550160000000000000,21320.0,21340.0,21305.0,21330.0,6944,80935,79916
2019-02-15 09:00:00.000000000,1550192400000000000,21340.0,21455.0,21320.0,21385.0,19652,79916,78123
2019-02-15 10:00:00.000000000,1550196000000000000,21385.0,21405.0,21305.0,21350.0,16069,78123,77470
2019-02-15 11:00:00.000000000,1550199600000000000,21350.0,21380.0,21330.0,21350.0,5568,77470,77419
2019-02-15 13:00:00.000000000,1550206800000000000,21340.0,21350.0,21270.0,21315.0,11762,77419,77242
2019-02-15 14:00:00.000000000,1550210400000000000,21315.0,21400.0,21270.0,21400.0,17310,77242,76008
2019-02-15 21:00:00.000000000,1550235600000000000,21590.0,21725.0,21515.0,21690.0,37262,76008,76384
2019-02-15 22:00:00.000000000,1550239200000000000,21690.0,21790.0,21665.0,21725.0,23557,76384,75820
2019-02-15 23:00:00.000000000,1550242800000000000,21725.0,21795.0,21685.0,21775.0,16124,75820,75976
2019-02-16 00:00:00.000000000,1550246400000000000,21775.0,21815.0,21750.0,21795.0,11641,75976,74590
2019-02-18 09:00:00.000000000,1550451600000000000,21810.0,21830.0,21605.0,21650.0,23247,74590,73133
2019-02-18 10:00:00.000000000,1550455200000000000,21650.0,21650.0,21540.0,21600.0,14936,73133,72827
2019-02-18 11:00:00.000000000,1550458800000000000,21600.0,21655.0,21590.0,21620.0,6381,72827,72279
2019-02-18 13:00:00.000000000,1550466000000000000,21635.0,21645.0,21600.0,21630.0,7250,72279,71320
2019-02-18 14:00:00.000000000,1550469600000000000,21630.0,21645.0,21465.0,21575.0,20609,71320,68528
2019-02-18 21:00:00.000000000,1550494800000000000,21390.0,21550.0,21355.0,21455.0,34495,68528,99462
