datetime,datetime_nano,KQ.m@CFFEX.IF.open,KQ.m@CFFEX.IF.high,KQ.m@CFFEX.IF.low,KQ.m@CFFEX.IF.close,KQ.m@CFFEX.IF.volume,KQ.m@CFFEX.IF.open_oi,KQ.m@CFFEX.IF.close_oi
2019-01-07 10:00:00.000000000,1546826400000000000,3049.2,3064.0,3035.8,3053.3999,14982,46663,45144
2019-01-07 11:00:00.000000000,1546830000000000000,3053.3999,3054.6001,3039.8,3045.2,5256,45144,45378
2019-01-07 13:00:00.000000000,1546837200000000000,3045.2,3054.3999,3041.2,3051.0,7706,45378,46301
2019-01-07 14:00:00.000000000,1546840800000000000,3051.0,3061.8,3045.8,3047.2,9972,46301,49378
2019-01-08 09:00:00.000000000,1546909200000000000,3046.8,3051.0,3038.8,3047.6001,8938,49378,44753
2019-01-08 10:00:00.000000000,1546912800000000000,3047.6001,3052.6001,3037.3999,3045.6001,11473,44753,43011
2019-01-08 11:00:00.000000000,1546916400000000000,3045.6001,3051.3999,3041.0,3049.8,3169,43011,42901
2019-01-08 13:00:00.000000000,1546923600000000000,3050.8,3054.2,3041.8,3047.6001,6981,42901,44045
2019-01-08 14:00:00.000000000,1546927200000000000,3047.6001,3055.0,3044.3999,3050.6001,8687,44045,47425
2019-01-09 09:00:00.000000000,1546995600000000000,3069.3999,3106.3999,3066.2,3106.0,17662,47425,42358
2019-01-09 10:00:00.000000000,1546999200000000000,3106.0,3125.6001,3098.2,3116.6001,15435,42358,43517
2019-01-09 11:00:00.000000000,1547002800000000000,3116.6001,3118.8,3110.2,3112.0,4175,43517,44022
2019-01-09 13:00:00.000000000,1547010000000000000,3112.2,3119.3999,3105.0,3105.8,6562,44022,45504
2019-01-09 14:00:00.000000000,1547013600000000000,3105.8,3106.2,3071.0,3072.0,14646,45504,51182
2019-01-10 09:00:00.000000000,1547082000000000000,3069.0,3076.0,3057.2,3074.8,12158,51182,44440
2019-01-10 10:00:00.000000000,1547085600000000000,3074.8,3083.6001,3068.6001,3074.6001,10466,44440,41888
2019-01-10 11:00:00.000000000,1547089200000000000,3074.6001,3095.0,3073.0,3091.8,7023,41888,41590
2019-01-10 13:00:00.000000000,1547096400000000000,3092.8,3098.0,3081.3999,3098.0,9147,41590,42976
2019-01-10 14:00:00.000000000,1547100000000000000,3098.0,3098.2,3068.6001,3075.6001,11266,42976,47159
2019-01-11 09:00:00.000000000,1547168400000000000,3085.0,3109.6001,3078.8,3099.0,12505,47159,41349
2019-01-11 10:00:00.000000000,1547172000000000000,3099.0,3102.2,3071.0,3075.6001,13114,41349,40498
2019-01-11 11:00:00.000000000,1547175600000000000,3075.6001,3081.0,3071.2,3078.6001,3868,40498,40940
2019-01-11 13:00:00.000000000,1547182800000000000,3078.6001,3098.8,3077.2,3093.0,11317,40940,43679
2019-01-11 14:00:00.000000000,1547186400000000000,3093.0,3102.0,3088.2,3099.2,11448,43679,47897
2019-01-14 09:00:00.000000000,1547427600000000000,3082.2,3101.8,3056.0,3079.0,10608,47897,41741
2019-01-14 10:00:00.000000000,1547431200000000000,3079.0,3083.8,3069.2,3075.0,10048,41741,38494
2019-01-14 11:00:00.000000000,1547434800000000000,3075.0,3077.0,3065.8,3069.0,3856,38494,37992
2019-01-14 13:00:00.000000000,1547442000000000000,3071.6001,3076.2,3065.0,3069.2,5972,37992,37916
2019-01-14 14:00:00.000000000,1547445600000000000,3069.2,3073.3999,3064.2,3070.8,8612,37916,40545
2019-01-15 09:00:00.000000000,1547514000000000000,3077.3999,3087.2,3070.0,3074.3999,10184,40545,35335
2019-01-15 10:00:00.000000000,1547517600000000000,3074.3999,3096.0,3073.3999,3091.0,12299,35335,34477
2019-01-15 11:00:00.000000000,1547521200000000000,3091.0,3120.0,3090.8,3118.0,8691,34477,35561
2019-01-15 13:00:00.000000000,1547528400000000000,3116.6001,3124.2,3106.0,3120.6001,9855,35561,36991
2019-01-15 14:00:00.000000000,1547532000000000000,3120.6001,3134.6001,3116.6001,3130.0,10937,36991,40186
2019-01-16 09:00:00.000000000,1547600400000000000,3126.2,3135.0,3120.6001,3130.8,9783,40186,33779
2019-01-16 10:00:00.000000000,1547604000000000000,3130.8,3131.6001,3118.3999,3120.0,9132,33779,29832
2019-01-16 11:00:00.000000000,1547607600000000000,3120.0,3126.3999,3118.8,3124.2,3310,29832,28698
2019-01-16 13:00:00.000000000,1547614800000000000,3123.2,3128.8,3115.2,3127.2,7274,28698,27701
2019-01-16 14:00:00.000000000,1547618400000000000,3127.2,3132.8,3122.0,3129.3999,9140,27701,28414
2019-01-17 09:00:00.000000000,1547686800000000000,3133.3999,3135.0,3110.8,3117.3999,8480,28414,22364
2019-01-17 10:00:00.000000000,1547690400000000000,3117.3999,3129.8,3112.2,3129.8,8337,22364,17926
2019-01-17 11:00:00.000000000,1547694000000000000,3129.8,3147.8,3125.2,3144.3999,4419,17926,16754
2019-01-17 13:00:00.000000000,1547701200000000000,3142.0,3143.2,3130.0,3135.2,5343,16754,15268
2019-01-17 14:00:00.000000000,1547704800000000000,3135.2,3139.0,3111.0,3114.6001,6039,15268,14572
2019-01-18 09:00:00.000000000,1547773200000000000,3129.0,3160.0,3125.3999,3156.6001,11056,14572,24982
2019-01-18 10:00:00.000000000,1547776800000000000,3156.6001,3168.6001,3130.3999,3144.2,13238,24982,26748
2019-01-18 11:00:00.000000000,1547780400000000000,3144.2,3160.2,3140.3999,3150.0,5352,26748,28373
2019-01-18 13:00:00.000000000,1547787600000000000,3148.8,3167.2,3147.0,3166.3999,8019,28373,32249
2019-01-18 14:00:00.000000000,1547791200000000000,3166.3999,3181.0,3155.2,3170.0,11503,32249,38624
2019-01-21 09:00:00.000000000,1548032400000000000,3175.0,3199.2,3172.6001,3187.8,11986,38624,33423
2019-01-21 10:00:00.000000000,1548036000000000000,3187.8,3205.0,3184.3999,3203.0,11503,33423,32300
2019-01-21 11:00:00.000000000,1548039600000000000,3203.0,3207.6001,3191.8,3194.2,4089,32300,32580
2019-01-21 13:00:00.000000000,1548046800000000000,3194.2,3195.6001,3181.0,3182.8,6915,32580,33239
2019-01-21 14:00:00.000000000,1548050400000000000,3182.8,3189.3999,3179.2,3186.6001,8188,33239,36503
2019-01-22 09:00:00.000000000,1548118800000000000,3183.0,3184.6001,3168.3999,3172.3999,8645,36503,32452
2019-01-22 10:00:00.000000000,1548122400000000000,3172.3999,3175.6001,3163.8,3167.3999,8166,32452,30754
2019-01-22 11:00:00.000000000,1548126000000000000,3167.3999,3168.3999,3162.3999,3163.0,3254,30754,30695
2019-01-22 13:00:00.000000000,1548133200000000000,3161.0,3161.0,3141.3999,3147.8,9046,30695,32480
2019-01-22 14:00:00.000000000,1548136800000000000,3147.8,3149.8,3138.6001,3147.2,9732,32480,36719
2019-01-23 09:00:00.000000000,1548205200000000000,3147.0,3160.2,3145.2,3154.3999,8332,36719,32513
2019-01-23 10:00:00.000000000,1548208800000000000,3154.3999,3166.0,3143.6001,3149.6001,12329,32513,30805
2019-01-23 11:00:00.000000000,1548212400000000000,3149.6001,3158.8,3147.8,3149.2,3370,30805,31156
2019-01-23 13:00:00.000000000,1548219600000000000,3149.0,3149.3999,3131.3999,3136.8,9333,31156,33617
2019-01-23 14:00:00.000000000,1548223200000000000,3136.8,3146.2,3136.6001,3138.3999,7951,33617,37166
2019-01-24 09:00:00.000000000,1548291600000000000,3148.3999,3152.6001,3128.6001,3130.2,8975,37166,32966
2019-01-24 10:00:00.000000000,1548295200000000000,3130.2,3154.8,3122.8,3153.6001,13658,32966,31162
2019-01-24 11:00:00.000000000,1548298800000000000,3153.6001,3173.6001,3153.0,3162.0,8694,31162,32517
2019-01-24 13:00:00.000000000,1548306000000000000,3161.6001,3170.0,3155.3999,3163.2,7461,32517,34750
2019-01-24 14:00:00.000000000,1548309600000000000,3163.2,3171.0,3159.8,3164.3999,8318,34750,38916
2019-01-25 09:00:00.000000000,1548378000000000000,3170.6001,3194.6001,3170.0,3182.2,12342,38916,33279
2019-01-25 10:00:00.000000000,1548381600000000000,3182.2,3196.3999,3178.0,3188.0,10829,33279,32535
2019-01-25 11:00:00.000000000,1548385200000000000,3188.0,3193.2,3182.2,3191.6001,3315,32535,32640
2019-01-25 13:00:00.000000000,1548392400000000000,3192.6001,3211.0,3189.2,3209.6001,9718,32640,33201
2019-01-25 14:00:00.000000000,1548396000000000000,3209.6001,3210.6001,3185.3999,3188.8,10325,33201,36866
2019-01-28 09:00:00.000000000,1548637200000000000,3209.3999,3231.8,3208.0,3229.3999,12397,36866,32411
2019-01-28 10:00:00.000000000,1548640800000000000,3229.3999,3238.2,3216.8,3218.2,10654,32411,32325
2019-01-28 11:00:00.000000000,1548644400000000000,3218.2,3221.8,3205.3999,3209.0,4676,32325,33005
2019-01-28 13:00:00.000000000,1548651600000000000,3209.3999,3209.6001,3183.6001,3187.0,7486,33005,34110
2019-01-28 14:00:00.000000000,1548655200000000000,3187.0,3193.6001,3176.3999,3185.2,9800,34110,38190
2019-01-29 09:00:00.000000000,1548723600000000000,3183.0,3194.0,3172.2,3186.6001,9310,38190,33800
2019-01-29 10:00:00.000000000,1548727200000000000,3186.6001,3187.2,3157.2,3175.3999,15467,33800,32269
2019-01-29 11:00:00.000000000,1548730800000000000,3175.3999,3191.2,3173.2,3186.3999,6493,32269,33273
2019-01-29 13:00:00.000000000,1548738000000000000,3187.2,3208.6001,3181.0,3193.2,9816,33273,35677
2019-01-29 14:00:00.000000000,1548741600000000000,3193.2,3212.2,3192.6001,3200.0,8006,35677,39556
2019-01-30 09:00:00.000000000,1548810000000000000,3182.2,3196.0,3178.3999,3192.3999,9503,39556,34242
2019-01-30 10:00:00.000000000,1548813600000000000,3192.3999,3198.8,3186.2,3190.2,8404,34242,32055
2019-01-30 11:00:00.000000000,1548817200000000000,3190.2,3209.8,3188.2,3203.0,6069,32055,32001
2019-01-30 13:00:00.000000000,1548824400000000000,3202.2,3203.3999,3184.0,3190.3999,7206,32001,33030
2019-01-30 14:00:00.000000000,1548828000000000000,3190.3999,3194.8,3177.0,3178.6001,9262,33030,35970
2019-01-31 09:00:00.000000000,1548896400000000000,3191.0,3206.6001,3185.3999,3194.0,9643,35970,31072
2019-01-31 10:00:00.000000000,1548900000000000000,3194.0,3224.2,3192.3999,3217.8,11742,31072,30275
2019-01-31 11:00:00.000000000,1548903600000000000,3217.8,3221.8,3202.2,3203.2,5570,30275,31272
2019-01-31 13:00:00.000000000,1548910800000000000,3202.6001,3211.8,3195.2,3199.8,7494,31272,33130
2019-01-31 14:00:00.000000000,1548914400000000000,3199.8,3208.2,3186.6001,3207.3999,10379,33130,36098
2019-02-01 09:00:00.000000000,1548982800000000000,3231.2,3232.3999,3208.3999,3210.2,9757,36098,30456
2019-02-01 10:00:00.000000000,1548986400000000000,3210.2,3233.2,3207.8,3230.3999,9268,30456,28571
2019-02-01 11:00:00.000000000,1548990000000000000,3230.3999,3238.0,3225.0,3231.2,4446,28571,28494
2019-02-01 13:00:00.000000000,1548997200000000000,3228.8,3241.3999,3219.6001,3240.3999,6226,28494,28971
2019-02-01 14:00:00.000000000,1549000800000000000,3240.3999,3262.3999,3239.0,3261.3999,10215,28971,31288
2019-02-11 09:00:00.000000000,1549846800000000000,3250.0,3263.8,3247.2,3253.6001,7713,31288,27906
2019-02-11 10:00:00.000000000,1549850400000000000,3253.6001,3283.6001,3251.6001,3283.6001,9307,27906,27130
2019-02-11 11:00:00.000000000,1549854000000000000,3283.6001,3293.6001,3279.6001,3286.6001,4103,27130,27321
2019-02-11 13:00:00.000000000,1549861200000000000,3285.8,3296.6001,3279.6001,3295.8,6491,27321,28553
2019-02-11 14:00:00.000000000,1549864800000000000,3295.8,3311.3999,3290.0,3305.6001,8190,28553,31346
2019-02-12 09:00:00.000000000,1549933200000000000,3303.3999,3313.2,3300.3999,3311.2,7329,31346,27538
2019-02-12 10:00:00.000000000,1549936800000000000,3311.2,3323.2,3300.2,3321.8,10514,27538,24960
2019-02-12 11:00:00.000000000,1549940400000000000,3321.8,3335.0,3317.2,3331.0,4402,24960,25127
2019-02-12 13:00:00.000000000,1549947600000000000,3331.2,3333.3999,3316.3999,3322.0,6421,25127,25412
2019-02-12 14:00:00.000000000,1549951200000000000,3322.0,3331.3999,3313.3999,3325.0,8107,25412,28138
2019-02-13 09:00:00.000000000,1550019600000000000,3328.8,3344.3999,3327.0,3341.2,8066,28138,23216
2019-02-13 10:00:00.000000000,1550023200000000000,3341.2,3362.8,3338.2,3349.6001,10086,23216,21601
2019-02-13 11:00:00.000000000,1550026800000000000,3349.6001,3366.0,3345.3999,3362.3999,4781,21601,21842
2019-02-13 13:00:00.000000000,1550034000000000000,3363.2,3394.3999,3360.3999,3393.2,7445,21842,22330
2019-02-13 14:00:00.000000000,1550037600000000000,3393.2,3417.8,3382.3999,3397.3999,9150,22330,24147
2019-02-14 09:00:00.000000000,1550106000000000000,3395.6001,3409.2,3392.3999,3394.6001,7002,24147,18673
2019-02-14 10:00:00.000000000,1550109600000000000,3394.6001,3407.3999,3386.3999,3389.6001,7246,18673,14224
2019-02-14 11:00:00.000000000,1550113200000000000,3389.6001,3400.3999,3388.3999,3391.8,1982,14224,13336
2019-02-14 13:00:00.000000000,1550120400000000000,3394.3999,3405.8,3391.2,3402.0,3706,13336,12035
2019-02-14 14:00:00.000000000,1550124000000000000,3402.0,3417.8,3399.8,3402.3999,4451,12035,11323
2019-02-15 09:00:00.000000000,1550192400000000000,3406.0,3408.2,3394.2,3394.8,9643,11323,54257
2019-02-15 10:00:00.000000000,1550196000000000000,3394.8,3395.8,3375.0,3387.3999,15367,54257,54950
2019-02-15 11:00:00.000000000,1550199600000000000,3387.3999,3388.2,3371.6001,3381.8,5275,54950,56129
2019-02-15 13:00:00.000000000,1550206800000000000,3381.3999,3381.8,3362.2,3367.0,8923,56129,59049
2019-02-15 14:00:00.000000000,1550210400000000000,3367.0,3368.0,3346.3999,3352.6001,12612,59049,63347
2019-02-18 09:00:00.000000000,1550451600000000000,3379.2,3416.0,3379.0,3398.6001,17264,63347,58572
2019-02-18 10:00:00.000000000,1550455200000000000,3398.6001,3419.8,3392.0,3414.3999,13541,58572,58522
2019-02-18 11:00:00.000000000,1550458800000000000,3414.3999,3426.6001,3412.0,3414.3999,6349,58522,60086
2019-02-18 13:00:00.000000000,1550466000000000000,3415.0,3446.0,3413.2,3438.8,10751,60086,62425
2019-02-18 14:00:00.000000000,1550469600000000000,3438.8,3454.0,3438.8,3447.3999,11488,62425,66648
2019-02-19 09:00:00.000000000,1550538000000000000,3458.0,3479.6001,3449.2,3473.2,14584,66648,60613
2019-02-19 10:00:00.000000000,1550541600000000000,3473.2,3482.0,3450.6001,3481.6001,17720,60613,59085
2019-02-19 11:00:00.000000000,1550545200000000000,3481.6001,3484.0,3451.0,3451.6001,8131,59085,60022
2019-02-19 13:00:00.000000000,1550552400000000000,3450.8,3450.8,3424.0,3430.8,15620,60022,61906
2019-02-19 14:00:00.000000000,1550556000000000000,3430.8,3447.3999,3421.2,3438.0,11606,61906,66588
2019-02-20 09:00:00.000000000,1550624400000000000,3455.0,3466.8,3445.0,3458.3999,13778,66588,61217
2019-02-20 10:00:00.000000000,1550628000000000000,3458.3999,3467.0,3440.6001,3443.8,16729,61217,59089
2019-02-20 11:00:00.000000000,1550631600000000000,3443.8,3461.8,3439.2,3440.3999,6305,59089,59636
2019-02-20 13:00:00.000000000,1550638800000000000,3438.8,3442.3999,3427.0,3439.8,10568,59636,60709
2019-02-20 14:00:00.000000000,1550642400000000000,3439.8,3456.0,3439.0,3449.6001,11317,60709,65188
2019-02-21 09:00:00.000000000,1550710800000000000,3447.8,3457.3999,3434.0,3453.8,13333,65188,59545
2019-02-21 10:00:00.000000000,1550714400000000000,3453.8,3476.0,3445.0,3475.3999,16355,59545,58111
2019-02-21 11:00:00.000000000,1550718000000000000,3475.3999,3478.0,3462.2,3467.6001,7754,58111,58870
2019-02-21 13:00:00.000000000,1550725200000000000,3470.3999,3503.3999,3459.8,3463.6001,21198,58870,63222
2019-02-21 14:00:00.000000000,1550728800000000000,3463.6001,3472.0,3430.0,3448.0,18838,63222,68692
2019-02-22 09:00:00.000000000,1550797200000000000,3447.2,3453.0,3423.0,3430.0,15487,68692,62391
2019-02-22 10:00:00.000000000,1550800800000000000,3430.0,3445.3999,3421.6001,3437.8,16216,62391,59615
2019-02-22 11:00:00.000000000,1550804400000000000,3437.8,3456.3999,3437.0,3445.8,8152,59615,59046
2019-02-22 13:00:00.000000000,1550811600000000000,3447.0,3482.8,3447.0,3479.0,15026,59046,60229
2019-02-22 14:00:00.000000000,1550815200000000000,3479.0,3540.0,3477.6001,3539.8,21806,60229,66517
2019-02-25 09:00:00.000000000,1551056400000000000,3584.8,3633.2,3573.2,3596.8,29877,66517,58380
2019-02-25 10:00:00.000000000,1551060000000000000,3596.8,3637.6001,3595.3999,3623.0,22237,58380,59869
2019-02-25 11:00:00.000000000,1551063600000000000,3623.0,3663.6001,3618.3999,3662.2,7874,59869,61407
2019-02-25 13:00:00.000000000,1551070800000000000,3663.0,3688.0,3653.6001,3674.6001,19266,61407,65234
2019-02-25 14:00:00.000000000,1551074400000000000,3674.6001,3801.8,3670.0,3800.2,24937,65234,69359
2019-02-26 09:00:00.000000000,1551142800000000000,3788.6001,3789.0,3736.2,3776.3999,25807,69359,62789
2019-02-26 10:00:00.000000000,1551146400000000000,3776.3999,3777.8,3704.2,3726.0,24831,62789,62824
2019-02-26 11:00:00.000000000,1551150000000000000,3726.0,3744.6001,3715.3999,3737.0,7760,62824,63284
2019-02-26 13:00:00.000000000,1551157200000000000,3738.3999,3766.0,3720.3999,3741.6001,17948,63284,66200
2019-02-26 14:00:00.000000000,1551160800000000000,3741.6001,3759.0,3687.6001,3701.8,21572,66200,70910
2019-02-27 09:00:00.000000000,1551229200000000000,3713.0,3739.2,3709.2,3725.2,17209,70910,64270
2019-02-27 10:00:00.000000000,1551232800000000000,3725.2,3727.2,3696.8,3723.0,19328,64270,62087
2019-02-27 11:00:00.000000000,1551236400000000000,3723.0,3733.6001,3703.8,3708.0,8281,62087,62434
2019-02-27 13:00:00.000000000,1551243600000000000,3709.0,3741.6001,3683.3999,3695.0,23394,62434,65441
2019-02-27 14:00:00.000000000,1551247200000000000,3695.0,3701.0,3646.8,3685.2,21485,65441,71644
2019-02-28 09:00:00.000000000,1551315600000000000,3681.6001,3698.0,3670.2,3695.0,16882,71644,64407
2019-02-28 10:00:00.000000000,1551319200000000000,3695.0,3709.6001,3683.2,3689.2,18697,64407,61689
2019-02-28 11:00:00.000000000,1551322800000000000,3689.2,3695.2,3671.3999,3685.6001,7891,61689,61675
2019-02-28 13:00:00.000000000,1551330000000000000,3687.6001,3701.2,3668.0,3668.6001,14541,61675,63828
2019-02-28 14:00:00.000000000,1551333600000000000,3668.6001,3687.3999,3664.2,3677.3999,16591,63828,69794
2019-03-01 09:00:00.000000000,1551402000000000000,3707.6001,3714.2,3674.2,3681.3999,18310,69794,62331
2019-03-01 10:00:00.000000000,1551405600000000000,3681.3999,3728.0,3678.8,3725.0,23311,62331,60133
2019-03-01 11:00:00.000000000,1551409200000000000,3725.0,3732.3999,3683.2,3686.2,13430,60133,61132
2019-03-01 13:00:00.000000000,1551416400000000000,3687.2,3707.0,3680.2,3706.2,12274,61132,63626
2019-03-01 14:00:00.000000000,1551420000000000000,3706.2,3760.0,3695.0,3750.0,23161,63626,70820
2019-03-04 09:00:00.000000000,1551661200000000000,3780.0,3796.8,3766.8,3790.8,21153,70820,61904
2019-03-04 10:00:00.000000000,1551664800000000000,3790.8,3833.8,3789.0,3822.6001,24937,61904,60397
2019-03-04 11:00:00.000000000,1551668400000000000,3822.6001,3881.2,3820.2,3875.3999,11182,60397,61534
2019-03-04 13:00:00.000000000,1551675600000000000,3880.2,3893.0,3850.3999,3865.6001,20266,61534,64854
2019-03-04 14:00:00.000000000,1551679200000000000,3865.6001,3866.0,3768.0,3786.8,28414,64854,70447
2019-03-05 09:00:00.000000000,1551747600000000000,3789.6001,3810.3999,3784.0,3793.3999,16829,70447,64423
2019-03-05 10:00:00.000000000,1551751200000000000,3793.3999,3816.8,3782.0,3814.0,19422,64423,61306
2019-03-05 11:00:00.000000000,1551754800000000000,3814.0,3824.6001,3785.0,3804.6001,11938,61306,60996
2019-03-05 13:00:00.000000000,1551762000000000000,3805.2,3811.3999,3784.2,3801.3999,14772,60996,63367
2019-03-05 14:00:00.000000000,1551765600000000000,3801.3999,3830.0,3795.0,3822.8,18919,63367,68972
2019-03-06 09:00:00.000000000,1551834000000000000,3830.0,3854.0,3807.0,3810.6001,21519,68972,60564
2019-03-06 10:00:00.000000000,1551837600000000000,3810.6001,3830.8,3798.8,3809.6001,19933,60564,58838
2019-03-06 11:00:00.000000000,1551841200000000000,3809.6001,3836.0,3807.2,3834.0,7438,58838,59534
2019-03-06 13:00:00.000000000,1551848400000000000,3831.2,3834.3999,3814.0,3821.3999,14108,59534,61341
2019-03-06 14:00:00.000000000,1551852000000000000,3821.3999,3864.3999,3784.3999,3846.6001,30144,61341,69213
2019-03-07 09:00:00.000000000,1551920400000000000,3835.6001,3838.2,3802.6001,3821.6001,17197,69213,61329
2019-03-07 10:00:00.000000000,1551924000000000000,3821.6001,3836.0,3787.3999,3806.0,24774,61329,56774
2019-03-07 11:00:00.000000000,1551927600000000000,3806.0,3827.8,3790.3999,3817.0,9155,56774,56566
2019-03-07 13:00:00.000000000,1551934800000000000,3810.0,3815.0,3775.0,3801.2,20386,56566,59345
2019-03-07 14:00:00.000000000,1551938400000000000,3801.2,3853.6001,3796.8,3808.8,24363,59345,66414
2019-03-08 09:00:00.000000000,1552006800000000000,3720.0,3760.3999,3708.8,3749.2,25366,66414,57250
2019-03-08 10:00:00.000000000,1552010400000000000,3749.2,3776.0,3734.0,3741.6001,23806,57250,56352
2019-03-08 11:00:00.000000000,1552014000000000000,3741.6001,3746.8,3687.6001,3688.2,13716,56352,58420
2019-03-08 13:00:00.000000000,1552021200000000000,3683.0,3718.6001,3677.6001,3696.2,18108,58420,62086
2019-03-08 14:00:00.000000000,1552024800000000000,3696.2,3717.8,3662.6001,3673.2,21156,62086,68379
2019-03-11 09:00:00.000000000,1552266000000000000,3691.8,3701.6001,3673.8,3681.8,16532,68379,60468
2019-03-11 10:00:00.000000000,1552269600000000000,3681.8,3698.0,3662.6001,3694.8,18103,60468,56250
2019-03-11 11:00:00.000000000,1552273200000000000,3694.8,3722.8,3693.2,3713.3999,11270,56250,54858
2019-03-11 13:00:00.000000000,1552280400000000000,3711.8,3725.0,3701.3999,3705.3999,13100,54858,55869
2019-03-11 14:00:00.000000000,1552284000000000000,3705.3999,3737.2,3690.2,3721.0,21223,55869,60506
2019-03-12 09:00:00.000000000,1552352400000000000,3754.0,3784.6001,3749.3999,3771.2,19756,60506,50905
2019-03-12 10:00:00.000000000,1552356000000000000,3771.2,3789.6001,3765.2,3775.0,16746,50905,48238
2019-03-12 11:00:00.000000000,1552359600000000000,3775.0,3789.2,3770.2,3786.8,7514,48238,47898
2019-03-12 13:00:00.000000000,1552366800000000000,3787.3999,3808.0,3751.2,3754.3999,21364,47898,49880
2019-03-12 14:00:00.000000000,1552370400000000000,3754.3999,3758.2,3721.0,3747.3999,20735,49880,54389
2019-03-13 09:00:00.000000000,1552438800000000000,3750.3999,3756.0,3733.6001,3738.2,12551,54389,46992
2019-03-13 10:00:00.000000000,1552442400000000000,3738.2,3740.2,3707.0,3717.6001,18745,46992,41141
2019-03-13 11:00:00.000000000,1552446000000000000,3717.6001,3741.3999,3716.2,3724.2,8021,41141,40290
2019-03-13 13:00:00.000000000,1552453200000000000,3724.2,3758.2,3698.6001,3754.6001,21891,40290,39767
2019-03-13 14:00:00.000000000,1552456800000000000,3754.6001,3756.2,3707.0,3720.8,16443,39767,42870
2019-03-14 09:00:00.000000000,1552525200000000000,3712.0,3746.0,3710.6001,3740.0,11900,42870,34333
2019-03-14 10:00:00.000000000,1552528800000000000,3740.0,3746.0,3717.2,3734.2,14100,34333,27317
2019-03-14 11:00:00.000000000,1552532400000000000,3734.2,3738.0,3708.6001,3711.3999,4359,27317,25877
2019-03-14 13:00:00.000000000,1552539600000000000,3710.6001,3723.6001,3696.0,3716.0,10023,25877,23595
2019-03-14 14:00:00.000000000,1552543200000000000,3716.0,3718.2,3682.0,3699.0,9831,23595,22050
2019-03-15 09:00:00.000000000,1552611600000000000,3719.0,3746.0,3717.0,3743.2,13197,22050,45012
2019-03-15 10:00:00.000000000,1552615200000000000,3743.2,3784.8,3741.6001,3784.6001,20982,45012,47262
2019-03-15 11:00:00.000000000,1552618800000000000,3784.6001,3800.8,3776.0,3781.3999,11338,47262,50542
2019-03-15 13:00:00.000000000,1552626000000000000,3781.3999,3784.2,3723.6001,3733.6001,21005,50542,56213
2019-03-15 14:00:00.000000000,1552629600000000000,3733.6001,3762.3999,3728.6001,3751.6001,18207,56213,64923
2019-03-18 09:00:00.000000000,1552870800000000000,3761.0,3777.8,3741.6001,3771.2,15595,64923,58994
2019-03-18 10:00:00.000000000,1552874400000000000,3771.2,3813.2,3761.0,3802.8,22616,58994,56325
2019-03-18 11:00:00.000000000,1552878000000000000,3802.8,3817.8,3789.2,3816.2,9533,56325,56891
2019-03-18 13:00:00.000000000,1552885200000000000,3817.2,3825.0,3799.0,3823.2,14613,56891,59542
2019-03-18 14:00:00.000000000,1552888800000000000,3823.2,3871.3999,3817.6001,3868.2,24684,59542,67354
2019-03-19 09:00:00.000000000,1552957200000000000,3869.3999,3877.6001,3850.3999,3851.2,16257,67354,61250
2019-03-19 10:00:00.000000000,1552960800000000000,3851.2,3866.3999,3836.6001,3850.0,19159,61250,58090
