datetime,datetime_nano,KQ.m@CFFEX.T.open,KQ.m@CFFEX.T.high,KQ.m@CFFEX.T.low,KQ.m@CFFEX.T.close,KQ.m@CFFEX.T.volume,KQ.m@CFFEX.T.open_oi,KQ.m@CFFEX.T.close_oi
2019-01-07 11:00:00.000000000,1546830000000000000,98.01,98.06,97.985,98.025,3812,63986,64106
2019-01-07 13:00:00.000000000,1546837200000000000,98.015,98.05,97.89,97.975,6870,64106,64399
2019-01-07 14:00:00.000000000,1546840800000000000,97.975,97.98,97.855,97.935,6148,64399,64076
2019-01-07 15:00:00.000000000,1546844400000000000,97.935,97.975,97.92,97.935,1767,64076,63528
2019-01-08 09:00:00.000000000,1546909200000000000,97.98,98.15,97.96,98.095,8475,63528,64328
2019-01-08 10:00:00.000000000,1546912800000000000,98.095,98.21,98.09,98.155,7644,64328,65038
2019-01-08 11:00:00.000000000,1546916400000000000,98.155,98.285,98.155,98.185,6690,65038,64847
2019-01-08 13:00:00.000000000,1546923600000000000,98.195,98.36,98.19,98.3,9124,64847,64468
2019-01-08 14:00:00.000000000,1546927200000000000,98.3,98.455,98.3,98.445,9929,64468,65164
2019-01-08 15:00:00.000000000,1546930800000000000,98.445,98.465,98.415,98.455,3306,65164,64343
2019-01-09 09:00:00.000000000,1546995600000000000,98.36,98.39,98.165,98.185,15247,64343,63572
2019-01-09 10:00:00.000000000,1546999200000000000,98.185,98.245,98.135,98.195,9827,63572,63011
2019-01-09 11:00:00.000000000,1547002800000000000,98.195,98.195,98.14,98.15,3483,63011,62528
2019-01-09 13:00:00.000000000,1547010000000000000,98.145,98.28,98.12,98.25,7366,62528,62211
2019-01-09 14:00:00.000000000,1547013600000000000,98.25,98.35,98.18,98.315,10759,62211,62578
2019-01-09 15:00:00.000000000,1547017200000000000,98.315,98.34,98.265,98.29,2469,62578,62056
2019-01-10 09:00:00.000000000,1547082000000000000,98.3,98.435,98.28,98.33,10368,62056,62534
2019-01-10 10:00:00.000000000,1547085600000000000,98.33,98.345,98.22,98.25,8505,62534,62749
2019-01-10 11:00:00.000000000,1547089200000000000,98.25,98.29,98.145,98.165,5317,62749,62800
2019-01-10 13:00:00.000000000,1547096400000000000,98.17,98.21,97.925,97.97,14225,62800,62132
2019-01-10 14:00:00.000000000,1547100000000000000,97.97,98.06,97.96,98.03,7967,62132,61776
2019-01-10 15:00:00.000000000,1547103600000000000,98.03,98.07,98.005,98.015,3060,61776,61056
2019-01-11 09:00:00.000000000,1547168400000000000,97.92,97.995,97.885,97.995,8577,61056,61869
2019-01-11 10:00:00.000000000,1547172000000000000,97.995,98.09,97.96,98.08,8025,61869,62481
2019-01-11 11:00:00.000000000,1547175600000000000,98.08,98.13,98.065,98.095,3179,62481,62456
2019-01-11 13:00:00.000000000,1547182800000000000,98.095,98.095,97.945,98.01,8911,62456,62628
2019-01-11 14:00:00.000000000,1547186400000000000,98.01,98.05,97.965,97.98,6081,62628,62243
2019-01-11 15:00:00.000000000,1547190000000000000,97.98,98.065,97.975,98.045,2309,62243,61456
2019-01-14 09:00:00.000000000,1547427600000000000,98.14,98.18,97.77,97.8,14724,61456,62267
2019-01-14 10:00:00.000000000,1547431200000000000,97.8,97.845,97.78,97.835,8328,62267,61950
2019-01-14 11:00:00.000000000,1547434800000000000,97.835,97.865,97.82,97.845,3114,61950,61881
2019-01-14 13:00:00.000000000,1547442000000000000,97.845,97.895,97.825,97.825,5563,61881,61585
2019-01-14 14:00:00.000000000,1547445600000000000,97.825,97.875,97.75,97.83,9047,61585,61232
2019-01-14 15:00:00.000000000,1547449200000000000,97.83,97.85,97.815,97.845,1644,61232,60495
2019-01-15 09:00:00.000000000,1547514000000000000,97.78,97.88,97.745,97.795,8174,60495,61324
2019-01-15 10:00:00.000000000,1547517600000000000,97.795,97.81,97.635,97.67,12873,61324,60905
2019-01-15 11:00:00.000000000,1547521200000000000,97.67,97.69,97.66,97.67,2539,60905,60972
2019-01-15 13:00:00.000000000,1547528400000000000,97.67,97.695,97.575,97.685,8449,60972,60805
2019-01-15 14:00:00.000000000,1547532000000000000,97.685,97.77,97.675,97.76,8556,60805,60648
2019-01-15 15:00:00.000000000,1547535600000000000,97.76,97.805,97.75,97.8,2215,60648,60037
2019-01-16 09:00:00.000000000,1547600400000000000,97.865,98.15,97.86,98.115,13919,60037,60639
2019-01-16 10:00:00.000000000,1547604000000000000,98.115,98.205,98.07,98.12,9035,60639,60896
2019-01-16 11:00:00.000000000,1547607600000000000,98.12,98.215,98.105,98.17,2969,60896,61181
2019-01-16 13:00:00.000000000,1547614800000000000,98.18,98.19,98.095,98.155,5723,61181,61577
2019-01-16 14:00:00.000000000,1547618400000000000,98.155,98.32,98.14,98.3,9577,61577,61305
2019-01-16 15:00:00.000000000,1547622000000000000,98.3,98.31,98.27,98.295,2252,61305,60794
2019-01-17 09:00:00.000000000,1547686800000000000,98.23,98.325,98.195,98.285,10017,60794,61163
2019-01-17 10:00:00.000000000,1547690400000000000,98.285,98.34,98.26,98.295,5719,61163,61012
2019-01-17 11:00:00.000000000,1547694000000000000,98.295,98.305,98.205,98.235,3681,61012,60542
2019-01-17 13:00:00.000000000,1547701200000000000,98.24,98.335,98.24,98.28,5964,60542,60905
2019-01-17 14:00:00.000000000,1547704800000000000,98.28,98.41,98.275,98.345,8708,60905,60982
2019-01-17 15:00:00.000000000,1547708400000000000,98.345,98.365,98.325,98.33,1974,60982,60424
2019-01-18 09:00:00.000000000,1547773200000000000,98.25,98.3,98.12,98.15,9301,60424,59669
2019-01-18 10:00:00.000000000,1547776800000000000,98.15,98.265,98.115,98.225,7501,59669,59567
2019-01-18 11:00:00.000000000,1547780400000000000,98.225,98.25,98.205,98.24,2123,59567,59630
2019-01-18 13:00:00.000000000,1547787600000000000,98.24,98.39,98.205,98.315,7981,59630,60249
2019-01-18 14:00:00.000000000,1547791200000000000,98.315,98.335,98.07,98.09,13467,60249,59370
2019-01-18 15:00:00.000000000,1547794800000000000,98.09,98.135,98.06,98.08,3413,59370,58865
2019-01-21 09:00:00.000000000,1548032400000000000,97.99,98.085,97.935,98.08,9203,58865,59655
2019-01-21 10:00:00.000000000,1548036000000000000,98.08,98.08,97.85,97.91,14556,59655,59560
2019-01-21 11:00:00.000000000,1548039600000000000,97.91,97.935,97.845,97.88,4255,59560,59305
2019-01-21 13:00:00.000000000,1548046800000000000,97.875,97.95,97.86,97.925,5398,59305,58971
2019-01-21 14:00:00.000000000,1548050400000000000,97.925,97.95,97.87,97.93,4660,58971,58810
2019-01-21 15:00:00.000000000,1548054000000000000,97.93,97.965,97.91,97.96,2183,58810,58083
2019-01-22 09:00:00.000000000,1548118800000000000,97.82,97.98,97.775,97.965,9568,58083,58867
2019-01-22 10:00:00.000000000,1548122400000000000,97.965,98.025,97.93,97.965,8359,58867,59194
2019-01-22 11:00:00.000000000,1548126000000000000,97.965,97.975,97.905,97.945,3469,59194,58638
2019-01-22 13:00:00.000000000,1548133200000000000,97.955,98.075,97.95,98.03,7377,58638,58675
2019-01-22 14:00:00.000000000,1548136800000000000,98.03,98.07,98.02,98.035,4729,58675,58275
2019-01-22 15:00:00.000000000,1548140400000000000,98.035,98.05,98.02,98.03,1472,58275,57758
2019-01-23 09:00:00.000000000,1548205200000000000,98.145,98.145,97.73,97.89,21006,57758,57088
2019-01-23 10:00:00.000000000,1548208800000000000,97.89,97.99,97.85,97.92,8546,57088,57247
2019-01-23 11:00:00.000000000,1548212400000000000,97.92,97.945,97.865,97.93,2365,57247,57285
2019-01-23 13:00:00.000000000,1548219600000000000,97.935,98.06,97.91,97.995,8493,57285,57899
2019-01-23 14:00:00.000000000,1548223200000000000,97.995,97.995,97.805,97.81,10193,57899,58169
2019-01-23 15:00:00.000000000,1548226800000000000,97.81,97.86,97.765,97.77,3732,58169,57339
2019-01-24 09:00:00.000000000,1548291600000000000,97.77,97.925,97.735,97.895,8541,57339,57129
2019-01-24 10:00:00.000000000,1548295200000000000,97.895,97.9,97.815,97.885,8166,57129,57507
2019-01-24 11:00:00.000000000,1548298800000000000,97.885,97.89,97.77,97.855,4978,57507,57428
2019-01-24 13:00:00.000000000,1548306000000000000,97.85,97.96,97.84,97.88,8137,57428,57430
2019-01-24 14:00:00.000000000,1548309600000000000,97.88,97.9,97.79,97.805,6322,57430,57017
2019-01-24 15:00:00.000000000,1548313200000000000,97.805,97.84,97.75,97.8,3265,57017,55905
2019-01-25 09:00:00.000000000,1548378000000000000,97.66,97.675,97.58,97.64,10685,55905,56184
2019-01-25 10:00:00.000000000,1548381600000000000,97.64,97.675,97.61,97.675,5295,56184,56385
2019-01-25 11:00:00.000000000,1548385200000000000,97.675,97.715,97.665,97.705,3542,56385,56159
2019-01-25 13:00:00.000000000,1548392400000000000,97.71,97.75,97.63,97.665,7720,56159,56491
2019-01-25 14:00:00.000000000,1548396000000000000,97.665,97.74,97.655,97.67,7070,56491,56439
2019-01-25 15:00:00.000000000,1548399600000000000,97.67,97.68,97.63,97.635,2046,56439,56157
2019-01-28 09:00:00.000000000,1548637200000000000,97.595,97.6,97.485,97.505,11307,56157,57333
2019-01-28 10:00:00.000000000,1548640800000000000,97.505,97.515,97.42,97.475,7632,57333,57281
2019-01-28 11:00:00.000000000,1548644400000000000,97.475,97.495,97.46,97.475,1897,57281,57225
2019-01-28 13:00:00.000000000,1548651600000000000,97.475,97.675,97.39,97.67,13378,57225,56803
2019-01-28 14:00:00.000000000,1548655200000000000,97.67,97.775,97.645,97.755,8834,56803,56315
2019-01-28 15:00:00.000000000,1548658800000000000,97.755,97.765,97.68,97.68,2516,56315,55632
2019-01-29 09:00:00.000000000,1548723600000000000,97.78,97.885,97.725,97.81,8598,55632,55764
2019-01-29 10:00:00.000000000,1548727200000000000,97.81,97.94,97.8,97.865,9856,55764,55960
2019-01-29 11:00:00.000000000,1548730800000000000,97.865,97.97,97.78,97.94,5875,55960,55953
2019-01-29 13:00:00.000000000,1548738000000000000,97.94,97.975,97.755,97.815,7925,55953,55920
2019-01-29 14:00:00.000000000,1548741600000000000,97.815,97.935,97.8,97.925,5790,55920,56097
2019-01-29 15:00:00.000000000,1548745200000000000,97.925,97.94,97.905,97.905,1780,56097,55411
2019-01-30 09:00:00.000000000,1548810000000000000,97.995,98.005,97.89,97.92,8442,55411,55900
2019-01-30 10:00:00.000000000,1548813600000000000,97.92,97.94,97.855,97.915,5509,55900,55917
2019-01-30 11:00:00.000000000,1548817200000000000,97.915,97.925,97.875,97.905,2128,55917,55902
2019-01-30 13:00:00.000000000,1548824400000000000,97.905,97.945,97.85,97.905,6335,55902,56178
2019-01-30 14:00:00.000000000,1548828000000000000,97.905,97.985,97.875,97.975,8254,56178,55912
2019-01-30 15:00:00.000000000,1548831600000000000,97.975,98.05,97.965,98.04,3903,55912,55163
2019-01-31 09:00:00.000000000,1548896400000000000,98.04,98.23,98.015,98.185,10300,55163,55227
2019-01-31 10:00:00.000000000,1548900000000000000,98.185,98.22,98.11,98.145,5650,55227,55081
2019-01-31 11:00:00.000000000,1548903600000000000,98.145,98.15,98.07,98.11,4175,55081,54726
2019-01-31 13:00:00.000000000,1548910800000000000,98.13,98.135,98.08,98.125,5282,54726,54829
2019-01-31 14:00:00.000000000,1548914400000000000,98.125,98.17,97.97,98.01,10002,54829,54261
2019-01-31 15:00:00.000000000,1548918000000000000,98.01,98.035,97.96,98.03,2392,54261,53762
2019-02-01 09:00:00.000000000,1548982800000000000,98.06,98.12,97.99,98.07,5414,53762,54087
2019-02-01 10:00:00.000000000,1548986400000000000,98.07,98.075,97.99,98.05,5046,54087,53940
2019-02-01 11:00:00.000000000,1548990000000000000,98.05,98.08,98.03,98.035,2230,53940,53823
2019-02-01 13:00:00.000000000,1548997200000000000,98.08,98.08,98.015,98.045,5712,53823,53676
2019-02-01 14:00:00.000000000,1549000800000000000,98.045,98.07,97.95,97.95,4773,53676,53259
2019-02-01 15:00:00.000000000,1549004400000000000,97.95,97.965,97.9,97.91,2394,53259,52286
2019-02-11 09:00:00.000000000,1549846800000000000,98.005,98.02,97.95,97.975,5027,52286,52105
2019-02-11 10:00:00.000000000,1549850400000000000,97.975,98.065,97.965,98.065,5186,52105,51843
2019-02-11 11:00:00.000000000,1549854000000000000,98.065,98.21,98.06,98.18,6003,51843,51946
2019-02-11 13:00:00.000000000,1549861200000000000,98.19,98.31,98.185,98.28,6515,51946,52056
2019-02-11 14:00:00.000000000,1549864800000000000,98.28,98.415,98.27,98.41,5963,52056,51834
2019-02-11 15:00:00.000000000,1549868400000000000,98.41,98.42,98.275,98.285,3603,51834,50820
2019-02-12 09:00:00.000000000,1549933200000000000,98.265,98.42,98.255,98.38,6068,50820,51078
2019-02-12 10:00:00.000000000,1549936800000000000,98.38,98.405,98.35,98.37,7436,51078,50446
2019-02-12 11:00:00.000000000,1549940400000000000,98.37,98.41,98.365,98.405,1900,50446,50466
2019-02-12 13:00:00.000000000,1549947600000000000,98.4,98.445,98.305,98.375,12029,50466,49858
2019-02-12 14:00:00.000000000,1549951200000000000,98.375,98.39,98.2,98.255,11874,49858,48598
2019-02-12 15:00:00.000000000,1549954800000000000,98.255,98.29,98.23,98.235,1982,48598,47896
2019-02-13 09:00:00.000000000,1550019600000000000,98.17,98.2,98.125,98.19,7360,47896,47581
2019-02-13 10:00:00.000000000,1550023200000000000,98.19,98.245,98.175,98.23,9783,47581,47077
2019-02-13 11:00:00.000000000,1550026800000000000,98.23,98.275,98.185,98.26,3511,47077,46673
2019-02-13 13:00:00.000000000,1550034000000000000,98.26,98.28,98.12,98.135,8896,46673,45902
2019-02-13 14:00:00.000000000,1550037600000000000,98.135,98.21,98.1,98.145,6800,45902,44419
2019-02-13 15:00:00.000000000,1550041200000000000,98.145,98.165,98.125,98.15,1698,44419,43836
2019-02-14 09:00:00.000000000,1550106000000000000,98.1,98.26,98.095,98.225,5924,43836,43556
2019-02-14 10:00:00.000000000,1550109600000000000,98.225,98.23,98.165,98.215,5002,43556,42999
2019-02-14 11:00:00.000000000,1550113200000000000,98.215,98.215,97.97,98.04,8807,42999,42490
2019-02-14 13:00:00.000000000,1550120400000000000,98.05,98.07,97.845,97.92,11064,42490,42022
2019-02-14 14:00:00.000000000,1550124000000000000,97.92,97.935,97.88,97.92,6741,42022,41362
2019-02-14 15:00:00.000000000,1550127600000000000,97.92,97.93,97.9,97.92,2047,41362,40599
2019-02-15 09:00:00.000000000,1550192400000000000,97.955,98.075,97.94,98.02,9593,40599,39908
2019-02-15 10:00:00.000000000,1550196000000000000,98.02,98.03,97.96,97.98,5195,39908,39514
2019-02-15 11:00:00.000000000,1550199600000000000,97.98,98.06,97.98,98.06,3586,39514,38978
2019-02-15 13:00:00.000000000,1550206800000000000,98.055,98.195,98.04,98.14,7567,38978,39054
2019-02-15 14:00:00.000000000,1550210400000000000,98.14,98.22,98.135,98.2,6428,39054,38802
2019-02-15 15:00:00.000000000,1550214000000000000,98.2,98.225,97.81,97.96,10409,38802,37297
2019-02-18 09:00:00.000000000,1550451600000000000,97.88,97.935,97.795,97.875,7427,37297,36953
2019-02-18 10:00:00.000000000,1550455200000000000,97.875,97.935,97.845,97.92,4423,36953,36317
2019-02-18 11:00:00.000000000,1550458800000000000,97.92,97.925,97.885,97.89,1386,36317,36076
2019-02-18 13:00:00.000000000,1550466000000000000,97.895,97.98,97.89,97.97,4728,36076,35452
2019-02-18 14:00:00.000000000,1550469600000000000,97.97,97.97,97.765,97.79,9375,35452,34011
2019-02-18 15:00:00.000000000,1550473200000000000,97.79,97.83,97.785,97.785,2001,34011,33703
2019-02-19 09:00:00.000000000,1550538000000000000,97.75,97.84,97.745,97.83,7550,33703,32360
2019-02-19 10:00:00.000000000,1550541600000000000,97.83,97.875,97.805,97.82,5025,32360,31234
2019-02-19 11:00:00.000000000,1550545200000000000,97.82,98.195,97.795,98.015,4208,31234,30592
2019-02-19 13:00:00.000000000,1550552400000000000,98.02,98.145,97.98,98.135,7018,30592,29699
2019-02-19 14:00:00.000000000,1550556000000000000,98.135,98.17,98.01,98.03,5882,29699,28058
2019-02-19 15:00:00.000000000,1550559600000000000,98.03,98.035,97.985,98.005,2074,28058,27174
2019-02-20 09:00:00.000000000,1550624400000000000,98.005,98.125,97.935,98.045,6696,27174,25579
2019-02-20 10:00:00.000000000,1550628000000000000,98.045,98.075,98.015,98.03,4270,25579,24190
2019-02-20 11:00:00.000000000,1550631600000000000,98.03,98.065,98.015,98.055,1898,24190,23472
2019-02-20 13:00:00.000000000,1550638800000000000,98.05,98.1,98.035,98.09,3070,23472,22520
2019-02-20 14:00:00.000000000,1550642400000000000,98.09,98.13,98.015,98.08,3582,22520,21768
2019-02-20 15:00:00.000000000,1550646000000000000,98.08,98.09,98.06,98.09,1235,21768,21225
2019-02-21 09:00:00.000000000,1550710800000000000,97.615,97.67,97.55,97.62,5386,21225,35178
2019-02-21 10:00:00.000000000,1550714400000000000,97.62,97.645,97.6,97.615,3711,35178,35986
2019-02-21 11:00:00.000000000,1550718000000000000,97.615,97.63,97.59,97.595,2444,35986,36106
2019-02-21 13:00:00.000000000,1550725200000000000,97.595,97.595,97.37,97.455,11755,36106,37384
2019-02-21 14:00:00.000000000,1550728800000000000,97.455,97.715,97.45,97.675,11009,37384,37548
2019-02-21 15:00:00.000000000,1550732400000000000,97.675,97.73,97.67,97.73,2922,37548,37943
2019-02-22 09:00:00.000000000,1550797200000000000,97.7,97.7,97.585,97.675,6705,37943,39094
2019-02-22 10:00:00.000000000,1550800800000000000,97.675,97.69,97.63,97.66,4539,39094,39361
2019-02-22 11:00:00.000000000,1550804400000000000,97.66,97.665,97.61,97.615,2100,39361,39444
2019-02-22 13:00:00.000000000,1550811600000000000,97.63,97.63,97.49,97.495,9362,39444,40175
2019-02-22 14:00:00.000000000,1550815200000000000,97.495,97.585,97.465,97.565,6928,40175,40506
2019-02-22 15:00:00.000000000,1550818800000000000,97.565,97.58,97.525,97.55,2052,40506,39961
2019-02-25 09:00:00.000000000,1551056400000000000,97.495,97.495,97.34,97.385,9504,39961,41441
2019-02-25 10:00:00.000000000,1551060000000000000,97.385,97.395,97.31,97.34,8135,41441,41953
2019-02-25 11:00:00.000000000,1551063600000000000,97.34,97.355,97.29,97.305,3283,41953,42515
2019-02-25 13:00:00.000000000,1551070800000000000,97.29,97.35,97.23,97.335,8226,42515,43308
2019-02-25 14:00:00.000000000,1551074400000000000,97.335,97.345,97.255,97.265,7127,43308,43009
2019-02-25 15:00:00.000000000,1551078000000000000,97.265,97.27,97.055,97.2,6304,43009,42576
2019-02-26 09:00:00.000000000,1551142800000000000,97.175,97.21,97.04,97.12,11495,42576,43643
2019-02-26 10:00:00.000000000,1551146400000000000,97.12,97.195,97.1,97.175,9011,43643,44141
2019-02-26 11:00:00.000000000,1551150000000000000,97.175,97.18,96.96,97.01,9351,44141,44912
2019-02-26 13:00:00.000000000,1551157200000000000,97.005,97.02,96.69,96.775,15447,44912,45985
2019-02-26 14:00:00.000000000,1551160800000000000,96.775,96.95,96.72,96.935,10387,45985,46238
2019-02-26 15:00:00.000000000,1551164400000000000,96.935,96.935,96.835,96.92,2223,46238,45633
2019-02-27 09:00:00.000000000,1551229200000000000,97.02,97.07,96.965,97.02,9257,45633,45560
2019-02-27 10:00:00.000000000,1551232800000000000,97.02,97.13,97.015,97.03,8300,45560,45506
2019-02-27 11:00:00.000000000,1551236400000000000,97.03,97.12,97.02,97.1,3756,45506,45373
2019-02-27 13:00:00.000000000,1551243600000000000,97.095,97.16,96.915,97.125,15322,45373,46470
2019-02-27 14:00:00.000000000,1551247200000000000,97.125,97.19,97.065,97.14,10319,46470,46355
2019-02-27 15:00:00.000000000,1551250800000000000,97.14,97.15,97.1,97.105,1763,46355,45788
2019-02-28 09:00:00.000000000,1551315600000000000,97.18,97.26,97.16,97.225,8106,45788,45552
2019-02-28 10:00:00.000000000,1551319200000000000,97.225,97.24,97.19,97.205,6732,45552,45927
2019-02-28 11:00:00.000000000,1551322800000000000,97.205,97.22,97.1,97.105,4618,45927,46526
2019-02-28 13:00:00.000000000,1551330000000000000,97.1,97.125,97.02,97.07,9282,46526,47048
2019-02-28 14:00:00.000000000,1551333600000000000,97.07,97.095,96.92,96.975,9901,47048,47683
2019-02-28 15:00:00.000000000,1551337200000000000,96.975,96.995,96.865,96.945,4062,47683,47268
2019-03-01 09:00:00.000000000,1551402000000000000,96.915,96.99,96.86,96.935,9979,47268,47641
2019-03-01 10:00:00.000000000,1551405600000000000,96.935,96.95,96.83,96.85,8025,47641,47848
2019-03-01 11:00:00.000000000,1551409200000000000,96.85,96.885,96.82,96.85,3768,47848,47936
2019-03-01 13:00:00.000000000,1551416400000000000,96.85,96.99,96.845,96.935,6541,47936,47770
2019-03-01 14:00:00.000000000,1551420000000000000,96.935,96.975,96.785,96.81,8833,47770,47569
2019-03-01 15:00:00.000000000,1551423600000000000,96.81,96.83,96.74,96.755,3242,47569,47441
2019-03-04 09:00:00.000000000,1551661200000000000,96.725,96.875,96.64,96.825,10053,47441,47965
2019-03-04 10:00:00.000000000,1551664800000000000,96.825,96.9,96.785,96.865,7856,47965,48254
2019-03-04 11:00:00.000000000,1551668400000000000,96.865,96.885,96.705,96.715,4689,48254,48398
2019-03-04 13:00:00.000000000,1551675600000000000,96.71,96.97,96.63,96.97,15194,48398,48674
2019-03-04 14:00:00.000000000,1551679200000000000,96.97,97.145,96.96,97.07,13408,48674,48498
2019-03-04 15:00:00.000000000,1551682800000000000,97.07,97.1,97.015,97.045,2560,48498,48377
2019-03-05 09:00:00.000000000,1551747600000000000,97.04,97.205,97.01,97.17,11869,48377,48720
2019-03-05 10:00:00.000000000,1551751200000000000,97.17,97.185,97.075,97.14,8611,48720,49631
2019-03-05 11:00:00.000000000,1551754800000000000,97.14,97.2,97.06,97.085,6250,49631,49718
2019-03-05 13:00:00.000000000,1551762000000000000,97.08,97.195,97.055,97.155,9881,49718,50130
2019-03-05 14:00:00.000000000,1551765600000000000,97.155,97.195,97.085,97.1,7362,50130,50213
2019-03-05 15:00:00.000000000,1551769200000000000,97.1,97.14,97.075,97.12,2243,50213,49747
2019-03-06 09:00:00.000000000,1551834000000000000,97.125,97.3,97.11,97.29,8374,49747,50200
2019-03-06 10:00:00.000000000,1551837600000000000,97.29,97.33,97.22,97.32,12580,50200,50315
2019-03-06 11:00:00.000000000,1551841200000000000,97.32,97.34,97.25,97.285,4557,50315,50158
2019-03-06 13:00:00.000000000,1551848400000000000,97.265,97.265,97.175,97.23,7339,50158,50387
2019-03-06 14:00:00.000000000,1551852000000000000,97.23,97.31,97.125,97.18,11043,50387,50137
2019-03-06 15:00:00.000000000,1551855600000000000,97.18,97.235,97.16,97.235,2008,50137,49653
2019-03-07 09:00:00.000000000,1551920400000000000,97.325,97.465,97.315,97.41,11634,49653,50358
2019-03-07 10:00:00.000000000,1551924000000000000,97.41,97.505,97.38,97.475,7425,50358,50645
2019-03-07 11:00:00.000000000,1551927600000000000,97.475,97.525,97.46,97.515,3469,50645,50316
2019-03-07 13:00:00.000000000,1551934800000000000,97.525,97.65,97.505,97.58,9499,50316,51284
2019-03-07 14:00:00.000000000,1551938400000000000,97.58,97.685,97.53,97.615,9789,51284,51150
2019-03-07 15:00:00.000000000,1551942000000000000,97.615,97.735,97.615,97.73,4492,51150,50411
2019-03-08 09:00:00.000000000,1552006800000000000,97.875,97.985,97.82,97.86,14578,50411,50848
2019-03-08 10:00:00.000000000,1552010400000000000,97.86,97.905,97.78,97.855,8470,50848,51852
2019-03-08 11:00:00.000000000,1552014000000000000,97.855,97.96,97.77,97.875,8170,51852,52227
2019-03-08 13:00:00.000000000,1552021200000000000,97.885,97.965,97.845,97.855,8577,52227,53176
2019-03-08 14:00:00.000000000,1552024800000000000,97.855,97.92,97.81,97.845,7967,53176,53730
2019-03-08 15:00:00.000000000,1552028400000000000,97.845,97.855,97.715,97.755,4816,53730,53400
2019-03-11 09:00:00.000000000,1552266000000000000,97.86,97.89,97.77,97.845,7534,53400,54175
2019-03-11 10:00:00.000000000,1552269600000000000,97.845,97.945,97.84,97.865,7651,54175,53957
2019-03-11 11:00:00.000000000,1552273200000000000,97.865,97.865,97.76,97.79,4394,53957,54267
2019-03-11 13:00:00.000000000,1552280400000000000,97.795,97.815,97.74,97.8,5755,54267,54361
2019-03-11 14:00:00.000000000,1552284000000000000,97.8,97.855,97.65,97.66,8738,54361,54498
2019-03-11 15:00:00.000000000,1552287600000000000,97.66,97.69,97.655,97.67,2086,54498,54108
2019-03-12 09:00:00.000000000,1552352400000000000,97.615,97.65,97.565,97.625,9486,54108,55111
2019-03-12 10:00:00.000000000,1552356000000000000,97.625,97.715,97.615,97.675,7214,55111,55056
2019-03-12 11:00:00.000000000,1552359600000000000,97.675,97.72,97.665,97.69,3078,55056,55227
2019-03-12 13:00:00.000000000,1552366800000000000,97.69,97.795,97.67,97.765,10158,55227,55602
2019-03-12 14:00:00.000000000,1552370400000000000,97.765,97.83,97.76,97.805,7174,55602,55489
2019-03-12 15:00:00.000000000,1552374000000000000,97.805,97.805,97.725,97.725,3335,55489,55085
2019-03-13 09:00:00.000000000,1552438800000000000,97.78,97.855,97.76,97.83,5993,55085,55715
2019-03-13 10:00:00.000000000,1552442400000000000,97.83,97.85,97.765,97.805,6613,55715,56121
2019-03-13 11:00:00.000000000,1552446000000000000,97.805,97.815,97.77,97.81,2565,56121,56447
2019-03-13 13:00:00.000000000,1552453200000000000,97.815,97.88,97.72,97.77,11665,56447,56588
